date,channel_id,channel_name,campaign_id,campaign_name,geo_id,market,platform,spend_gbp,impressions,clicks,reach,video_views,currency
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_BRI,Paid Search - Brand Always-on Bristol,G05,Bristol,Google Ads,92.9,1060,94,767,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_BRI,Paid Search - Non-Brand Always-on Bristol,G05,Bristol,Google Ads,151.49,2162,98,1655,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_BRI,Paid Social Always-on Bristol,G05,Bristol,Meta,143.41,14356,205,10694,5509,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_BRI,LinkedIn Always-on Bristol,G05,Bristol,LinkedIn Ads,114.55,3308,30,2146,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_BRI,YouTube Always-on Bristol,G05,Bristol,Google Ads,104.08,9307,47,5595,6701,GBP
2024-01-01,CH06,Display,CMP_DIS_BRI,Display Always-on Bristol,G05,Bristol,DV360,53.77,10013,32,5575,7343,GBP
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_GLA,Paid Search - Brand Always-on Glasgow,G06,Glasgow,Google Ads,60.03,762,71,530,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_GLA,Paid Search - Non-Brand Always-on Glasgow,G06,Glasgow,Google Ads,257.05,4036,160,2793,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_GLA,Paid Social Always-on Glasgow,G06,Glasgow,Meta,130.24,12494,142,8516,4480,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_GLA,LinkedIn Always-on Glasgow,G06,Glasgow,LinkedIn Ads,121.26,3491,27,2500,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_GLA,YouTube Always-on Glasgow,G06,Glasgow,Google Ads,65.16,5297,31,4068,3482,GBP
2024-01-01,CH06,Display,CMP_DIS_GLA,Display Always-on Glasgow,G06,Glasgow,DV360,62.12,12113,31,6798,6927,GBP
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_LIV,Paid Search - Brand Always-on Liverpool,G07,Liverpool,Google Ads,110.0,1318,123,850,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_LIV,Paid Search - Non-Brand Always-on Liverpool,G07,Liverpool,Google Ads,187.21,2935,129,1839,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_LIV,Paid Social Always-on Liverpool,G07,Liverpool,Meta,114.79,11734,133,7985,8764,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_LIV,LinkedIn Always-on Liverpool,G07,Liverpool,LinkedIn Ads,107.43,3311,26,2708,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_LIV,YouTube Always-on Liverpool,G07,Liverpool,Google Ads,96.49,8565,52,6410,4277,GBP
2024-01-01,CH06,Display,CMP_DIS_LIV,Display Always-on Liverpool,G07,Liverpool,DV360,58.5,12598,38,10469,5623,GBP
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_SHE,Paid Search - Brand Always-on Sheffield,G08,Sheffield,Google Ads,90.45,1228,102,741,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_SHE,Paid Search - Non-Brand Always-on Sheffield,G08,Sheffield,Google Ads,184.54,2681,107,2099,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_SHE,Paid Social Always-on Sheffield,G08,Sheffield,Meta,107.79,10776,126,5971,4761,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_SHE,LinkedIn Always-on Sheffield,G08,Sheffield,LinkedIn Ads,94.86,2797,16,1963,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_SHE,YouTube Always-on Sheffield,G08,Sheffield,Google Ads,70.56,5521,29,4368,3512,GBP
2024-01-01,CH06,Display,CMP_DIS_SHE,Display Always-on Sheffield,G08,Sheffield,DV360,38.22,7656,21,4902,4175,GBP
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_EDI,Paid Search - Brand Always-on Edinburgh,G09,Edinburgh,Google Ads,70.81,944,78,781,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_EDI,Paid Search - Non-Brand Always-on Edinburgh,G09,Edinburgh,Google Ads,130.33,2029,93,1180,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_EDI,Paid Social Always-on Edinburgh,G09,Edinburgh,Meta,112.51,11379,177,8293,8229,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_EDI,LinkedIn Always-on Edinburgh,G09,Edinburgh,LinkedIn Ads,84.77,2244,16,1246,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_EDI,YouTube Always-on Edinburgh,G09,Edinburgh,Google Ads,97.6,7836,43,4856,4406,GBP
2024-01-01,CH06,Display,CMP_DIS_EDI,Display Always-on Edinburgh,G09,Edinburgh,DV360,38.34,7465,20,5565,5203,GBP
2024-01-01,CH01,Paid Search - Brand,CMP_PAI_CAR,Paid Search - Brand Always-on Cardiff,G10,Cardiff,Google Ads,45.62,630,45,487,0,GBP
2024-01-01,CH02,Paid Search - Non-Brand,CMP_PAI_CAR,Paid Search - Non-Brand Always-on Cardiff,G10,Cardiff,Google Ads,174.56,3075,118,2239,0,GBP
2024-01-01,CH03,Paid Social,CMP_PAI_CAR,Paid Social Always-on Cardiff,G10,Cardiff,Meta,108.8,11820,125,7011,8491,GBP
2024-01-01,CH04,LinkedIn,CMP_LIN_CAR,LinkedIn Always-on Cardiff,G10,Cardiff,LinkedIn Ads,89.22,2501,19,1462,0,GBP
2024-01-01,CH05,YouTube,CMP_YOU_CAR,YouTube Always-on Cardiff,G10,Cardiff,Google Ads,69.56,5719,35,3237,3353,GBP
2024-01-01,CH06,Display,CMP_DIS_CAR,Display Always-on Cardiff,G10,Cardiff,DV360,51.48,10376,32,7277,7263,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_LON,Paid Search - Brand Always-on London,G01,London,Google Ads,132.82,1686,141,1053,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_LON,Paid Search - Non-Brand Always-on London,G01,London,Google Ads,423.8,6645,271,4399,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_LON,Paid Social Always-on London,G01,London,Meta,273.0,25781,353,14581,18560,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_LON,LinkedIn Always-on London,G01,London,LinkedIn Ads,153.44,4587,38,3870,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_LON,YouTube Always-on London,G01,London,Google Ads,169.8,14336,86,11235,5789,GBP
2024-01-02,CH06,Display,CMP_DIS_LON,Display Always-on London,G01,London,DV360,104.38,21035,74,14489,10602,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_MAN,Paid Search - Brand Always-on Manchester,G02,Manchester,Google Ads,110.79,1405,114,974,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_MAN,Paid Search - Non-Brand Always-on Manchester,G02,Manchester,Google Ads,240.36,4017,147,2650,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_MAN,Paid Social Always-on Manchester,G02,Manchester,Meta,174.23,17369,182,11099,12671,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_MAN,LinkedIn Always-on Manchester,G02,Manchester,LinkedIn Ads,165.55,5139,46,3651,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_MAN,YouTube Always-on Manchester,G02,Manchester,Google Ads,179.55,15291,100,10853,9223,GBP
2024-01-02,CH06,Display,CMP_DIS_MAN,Display Always-on Manchester,G02,Manchester,DV360,68.37,14350,36,10883,9963,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_BIR,Paid Search - Brand Always-on Birmingham,G03,Birmingham,Google Ads,103.76,1372,127,1053,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_BIR,Paid Search - Non-Brand Always-on Birmingham,G03,Birmingham,Google Ads,246.69,3496,156,2928,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_BIR,Paid Social Always-on Birmingham,G03,Birmingham,Meta,160.73,17287,223,13631,12592,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_BIR,LinkedIn Always-on Birmingham,G03,Birmingham,LinkedIn Ads,143.13,3840,28,2821,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_BIR,YouTube Always-on Birmingham,G03,Birmingham,Google Ads,111.34,9814,63,6769,5486,GBP
2024-01-02,CH06,Display,CMP_DIS_BIR,Display Always-on Birmingham,G03,Birmingham,DV360,74.96,15301,54,11167,11054,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_LEE,Paid Search - Brand Always-on Leeds,G04,Leeds,Google Ads,95.5,1099,109,821,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_LEE,Paid Search - Non-Brand Always-on Leeds,G04,Leeds,Google Ads,211.1,3155,155,2051,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_LEE,Paid Social Always-on Leeds,G04,Leeds,Meta,154.21,15601,193,10285,7422,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_LEE,LinkedIn Always-on Leeds,G04,Leeds,LinkedIn Ads,116.02,3378,30,2301,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_LEE,YouTube Always-on Leeds,G04,Leeds,Google Ads,102.61,9184,50,7630,6080,GBP
2024-01-02,CH06,Display,CMP_DIS_LEE,Display Always-on Leeds,G04,Leeds,DV360,72.19,14446,50,11055,10552,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_BRI,Paid Search - Brand Always-on Bristol,G05,Bristol,Google Ads,88.4,1233,102,723,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_BRI,Paid Search - Non-Brand Always-on Bristol,G05,Bristol,Google Ads,225.45,3389,154,2325,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_BRI,Paid Social Always-on Bristol,G05,Bristol,Meta,103.27,9680,93,6608,4557,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_BRI,LinkedIn Always-on Bristol,G05,Bristol,LinkedIn Ads,122.12,3537,23,3003,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_BRI,YouTube Always-on Bristol,G05,Bristol,Google Ads,98.75,8035,50,4675,6023,GBP
2024-01-02,CH06,Display,CMP_DIS_BRI,Display Always-on Bristol,G05,Bristol,DV360,51.29,10328,33,8459,3734,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_GLA,Paid Search - Brand Always-on Glasgow,G06,Glasgow,Google Ads,63.6,787,68,479,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_GLA,Paid Search - Non-Brand Always-on Glasgow,G06,Glasgow,Google Ads,142.0,2241,97,1236,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_GLA,Paid Social Always-on Glasgow,G06,Glasgow,Meta,144.37,12998,131,8079,8965,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_GLA,LinkedIn Always-on Glasgow,G06,Glasgow,LinkedIn Ads,88.76,2630,20,2055,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_GLA,YouTube Always-on Glasgow,G06,Glasgow,Google Ads,107.36,9540,56,5604,5264,GBP
2024-01-02,CH06,Display,CMP_DIS_GLA,Display Always-on Glasgow,G06,Glasgow,DV360,66.53,13367,36,7974,8606,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_LIV,Paid Search - Brand Always-on Liverpool,G07,Liverpool,Google Ads,64.03,786,73,663,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_LIV,Paid Search - Non-Brand Always-on Liverpool,G07,Liverpool,Google Ads,123.67,1940,76,1091,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_LIV,Paid Social Always-on Liverpool,G07,Liverpool,Meta,126.37,11480,153,6629,4860,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_LIV,LinkedIn Always-on Liverpool,G07,Liverpool,LinkedIn Ads,86.07,2378,20,1761,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_LIV,YouTube Always-on Liverpool,G07,Liverpool,Google Ads,97.42,8265,57,5292,4803,GBP
2024-01-02,CH06,Display,CMP_DIS_LIV,Display Always-on Liverpool,G07,Liverpool,DV360,65.75,12932,43,7688,7155,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_SHE,Paid Search - Brand Always-on Sheffield,G08,Sheffield,Google Ads,71.69,983,104,580,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_SHE,Paid Search - Non-Brand Always-on Sheffield,G08,Sheffield,Google Ads,146.29,2371,95,1738,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_SHE,Paid Social Always-on Sheffield,G08,Sheffield,Meta,115.41,11722,126,7212,6861,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_SHE,LinkedIn Always-on Sheffield,G08,Sheffield,LinkedIn Ads,76.47,2134,16,1477,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_SHE,YouTube Always-on Sheffield,G08,Sheffield,Google Ads,100.41,7965,49,6058,4852,GBP
2024-01-02,CH06,Display,CMP_DIS_SHE,Display Always-on Sheffield,G08,Sheffield,DV360,50.27,10365,29,7408,5416,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_EDI,Paid Search - Brand Always-on Edinburgh,G09,Edinburgh,Google Ads,64.47,910,79,701,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_EDI,Paid Search - Non-Brand Always-on Edinburgh,G09,Edinburgh,Google Ads,138.21,2188,97,1544,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_EDI,Paid Social Always-on Edinburgh,G09,Edinburgh,Meta,96.39,9846,106,6874,3902,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_EDI,LinkedIn Always-on Edinburgh,G09,Edinburgh,LinkedIn Ads,100.82,3037,25,1926,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_EDI,YouTube Always-on Edinburgh,G09,Edinburgh,Google Ads,85.41,7007,46,5415,2493,GBP
2024-01-02,CH06,Display,CMP_DIS_EDI,Display Always-on Edinburgh,G09,Edinburgh,DV360,32.5,6014,20,3584,3550,GBP
2024-01-02,CH01,Paid Search - Brand,CMP_PAI_CAR,Paid Search - Brand Always-on Cardiff,G10,Cardiff,Google Ads,45.41,483,38,409,0,GBP
2024-01-02,CH02,Paid Search - Non-Brand,CMP_PAI_CAR,Paid Search - Non-Brand Always-on Cardiff,G10,Cardiff,Google Ads,135.88,2031,96,1546,0,GBP
2024-01-02,CH03,Paid Social,CMP_PAI_CAR,Paid Social Always-on Cardiff,G10,Cardiff,Meta,97.16,9764,115,5982,5468,GBP
2024-01-02,CH04,LinkedIn,CMP_LIN_CAR,LinkedIn Always-on Cardiff,G10,Cardiff,LinkedIn Ads,93.23,2572,22,2177,0,GBP
2024-01-02,CH05,YouTube,CMP_YOU_CAR,YouTube Always-on Cardiff,G10,Cardiff,Google Ads,61.09,4864,33,2881,2574,GBP
2024-01-02,CH06,Display,CMP_DIS_CAR,Display Always-on Cardiff,G10,Cardiff,DV360,39.69,8516,25,5792,4579,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_LON,Paid Search - Brand Always-on London,G01,London,Google Ads,141.97,1691,135,952,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_LON,Paid Search - Non-Brand Always-on London,G01,London,Google Ads,241.32,3830,161,2780,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_LON,Paid Social Always-on London,G01,London,Meta,169.59,16292,155,13083,9857,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_LON,LinkedIn Always-on London,G01,London,LinkedIn Ads,203.77,5748,45,3261,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_LON,YouTube Always-on London,G01,London,Google Ads,154.45,13325,86,10704,7235,GBP
2024-01-03,CH06,Display,CMP_DIS_LON,Display Always-on London,G01,London,DV360,115.43,25435,75,20929,14875,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_MAN,Paid Search - Brand Always-on Manchester,G02,Manchester,Google Ads,89.3,1046,79,700,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_MAN,Paid Search - Non-Brand Always-on Manchester,G02,Manchester,Google Ads,241.09,3718,151,2422,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_MAN,Paid Social Always-on Manchester,G02,Manchester,Meta,211.56,20987,232,14364,9927,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_MAN,LinkedIn Always-on Manchester,G02,Manchester,LinkedIn Ads,115.08,3276,27,2492,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_MAN,YouTube Always-on Manchester,G02,Manchester,Google Ads,136.0,10508,73,7284,6878,GBP
2024-01-03,CH06,Display,CMP_DIS_MAN,Display Always-on Manchester,G02,Manchester,DV360,82.91,14584,37,11442,10160,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_BIR,Paid Search - Brand Always-on Birmingham,G03,Birmingham,Google Ads,116.73,1604,117,1148,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_BIR,Paid Search - Non-Brand Always-on Birmingham,G03,Birmingham,Google Ads,226.08,3758,144,2391,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_BIR,Paid Social Always-on Birmingham,G03,Birmingham,Meta,245.36,22509,228,17629,12287,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_BIR,LinkedIn Always-on Birmingham,G03,Birmingham,LinkedIn Ads,165.02,4771,30,3213,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_BIR,YouTube Always-on Birmingham,G03,Birmingham,Google Ads,113.07,10022,55,7923,7214,GBP
2024-01-03,CH06,Display,CMP_DIS_BIR,Display Always-on Birmingham,G03,Birmingham,DV360,85.04,17390,41,9818,6846,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_LEE,Paid Search - Brand Always-on Leeds,G04,Leeds,Google Ads,89.75,1041,93,842,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_LEE,Paid Search - Non-Brand Always-on Leeds,G04,Leeds,Google Ads,144.17,2297,106,1424,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_LEE,Paid Social Always-on Leeds,G04,Leeds,Meta,192.38,18814,226,13252,11681,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_LEE,LinkedIn Always-on Leeds,G04,Leeds,LinkedIn Ads,130.06,3616,27,2717,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_LEE,YouTube Always-on Leeds,G04,Leeds,Google Ads,87.18,6388,45,5148,2999,GBP
2024-01-03,CH06,Display,CMP_DIS_LEE,Display Always-on Leeds,G04,Leeds,DV360,43.84,8632,25,7043,3668,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_BRI,Paid Search - Brand Always-on Bristol,G05,Bristol,Google Ads,88.98,1141,79,903,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_BRI,Paid Search - Non-Brand Always-on Bristol,G05,Bristol,Google Ads,244.87,3799,164,2245,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_BRI,Paid Social Always-on Bristol,G05,Bristol,Meta,154.22,14087,172,11615,7730,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_BRI,LinkedIn Always-on Bristol,G05,Bristol,LinkedIn Ads,107.9,3339,23,2038,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_BRI,YouTube Always-on Bristol,G05,Bristol,Google Ads,103.77,8271,50,5400,4285,GBP
2024-01-03,CH06,Display,CMP_DIS_BRI,Display Always-on Bristol,G05,Bristol,DV360,42.69,8531,22,5420,6046,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_GLA,Paid Search - Brand Always-on Glasgow,G06,Glasgow,Google Ads,53.22,611,54,433,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_GLA,Paid Search - Non-Brand Always-on Glasgow,G06,Glasgow,Google Ads,96.25,1538,71,984,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_GLA,Paid Social Always-on Glasgow,G06,Glasgow,Meta,98.29,10240,128,8317,4744,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_GLA,LinkedIn Always-on Glasgow,G06,Glasgow,LinkedIn Ads,108.37,3156,24,2150,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_GLA,YouTube Always-on Glasgow,G06,Glasgow,Google Ads,98.95,8761,49,6959,6229,GBP
2024-01-03,CH06,Display,CMP_DIS_GLA,Display Always-on Glasgow,G06,Glasgow,DV360,48.31,9430,30,5474,5763,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_LIV,Paid Search - Brand Always-on Liverpool,G07,Liverpool,Google Ads,69.73,885,73,496,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_LIV,Paid Search - Non-Brand Always-on Liverpool,G07,Liverpool,Google Ads,105.96,1562,63,974,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_LIV,Paid Social Always-on Liverpool,G07,Liverpool,Meta,108.99,10400,121,6695,3851,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_LIV,LinkedIn Always-on Liverpool,G07,Liverpool,LinkedIn Ads,86.84,2474,22,1878,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_LIV,YouTube Always-on Liverpool,G07,Liverpool,Google Ads,78.09,6689,39,4514,2345,GBP
2024-01-03,CH06,Display,CMP_DIS_LIV,Display Always-on Liverpool,G07,Liverpool,DV360,61.68,11698,35,8217,6384,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_SHE,Paid Search - Brand Always-on Sheffield,G08,Sheffield,Google Ads,50.91,658,53,527,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_SHE,Paid Search - Non-Brand Always-on Sheffield,G08,Sheffield,Google Ads,139.96,2274,74,1578,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_SHE,Paid Social Always-on Sheffield,G08,Sheffield,Meta,98.39,10557,130,8752,3900,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_SHE,LinkedIn Always-on Sheffield,G08,Sheffield,LinkedIn Ads,76.59,2237,18,1262,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_SHE,YouTube Always-on Sheffield,G08,Sheffield,Google Ads,79.7,6734,41,4084,2441,GBP
2024-01-03,CH06,Display,CMP_DIS_SHE,Display Always-on Sheffield,G08,Sheffield,DV360,36.39,6461,21,4656,3786,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_EDI,Paid Search - Brand Always-on Edinburgh,G09,Edinburgh,Google Ads,46.16,579,54,425,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_EDI,Paid Search - Non-Brand Always-on Edinburgh,G09,Edinburgh,Google Ads,149.47,2256,90,1412,0,GBP
2024-01-03,CH03,Paid Social,CMP_PAI_EDI,Paid Social Always-on Edinburgh,G09,Edinburgh,Meta,105.29,9994,149,8448,4943,GBP
2024-01-03,CH04,LinkedIn,CMP_LIN_EDI,LinkedIn Always-on Edinburgh,G09,Edinburgh,LinkedIn Ads,75.92,2261,19,1651,0,GBP
2024-01-03,CH05,YouTube,CMP_YOU_EDI,YouTube Always-on Edinburgh,G09,Edinburgh,Google Ads,98.75,8490,55,4868,3072,GBP
2024-01-03,CH06,Display,CMP_DIS_EDI,Display Always-on Edinburgh,G09,Edinburgh,DV360,33.8,6788,19,5210,4298,GBP
2024-01-03,CH01,Paid Search - Brand,CMP_PAI_CAR,Paid Search - Brand Always-on Cardiff,G10,Cardiff,Google Ads,81.4,1086,95,790,0,GBP
2024-01-03,CH02,Paid Search - Non-Brand,CMP_PAI_CAR,Paid Search - Non-Brand Always-on Cardiff,G10,Cardiff,Google Ads,126.16,1960,76,1179,0,GBP
