revenue_id,customer_id,opportunity_id,revenue_date,product_id,market,revenue_amount_gbp,gross_margin_gbp,new_existing_customer,billing_type
R000029,CU000356,O000079,2024-07-05,Remote Access,Leeds,25504.79,19127.34,New,Annual
R000030,CU000369,O000081,2024-04-28,Remote Access,Bristol,10055.32,8326.03,New,Annual
R000031,CU000371,O000083,2024-06-22,Remote Access,Leeds,3654.04,2665.19,New,Annual
R000032,CU000397,O000089,2024-05-25,Enterprise Connectivity,Leeds,3682.08,2674.76,New,Annual
R000033,CU000403,O000091,2024-06-06,Security Add-on,Birmingham,34801.0,29796.64,New,Annual
R000034,CU000435,O000098,2024-05-02,Remote Access,Leeds,63250.43,48485.93,New,Annual
R000035,CU000444,O000100,2024-07-03,Enterprise Connectivity,Bristol,4592.51,3857.95,New,Annual
R000036,CU000446,O000101,2024-05-01,Security Add-on,Birmingham,18204.74,13488.92,New,Annual
R000037,CU000457,O000103,2024-06-17,Remote Support,Edinburgh,47542.75,38530.73,New,Annual
R000038,CU000472,O000105,2024-05-12,Remote Support,London,101315.61,86983.56,New,Annual
R000039,CU000482,O000107,2024-05-30,Remote Support,Birmingham,54173.34,42784.41,New,Annual
R000040,CU000493,O000110,2024-05-20,Enterprise Connectivity,Glasgow,5730.48,4438.25,New,Annual
R000041,CU000501,O000114,2024-04-26,Remote Access,Edinburgh,24783.75,21237.97,New,Annual
R000042,CU000506,O000115,2024-06-20,Remote Support,Bristol,21409.79,17822.2,New,Annual
R000043,CU000514,O000117,2024-05-28,Remote Support,Birmingham,24473.94,19480.04,New,Annual
R000044,CU000561,O000123,2024-06-04,Security Add-on,Edinburgh,5494.21,4549.37,New,Annual
R000045,CU000600,O000126,2024-08-07,Enterprise Connectivity,Glasgow,7072.87,5102.87,New,Annual
R000046,CU000651,O000134,2024-05-30,Enterprise Connectivity,Leeds,31102.58,26282.77,New,Annual
R000047,CU000672,O000136,2024-08-12,Enterprise Connectivity,Leeds,14742.41,11743.01,New,Annual
R000048,CU000684,O000139,2024-07-04,Enterprise Connectivity,Edinburgh,41097.69,30282.36,New,Annual
R000049,CU000687,O000140,2024-06-29,Security Add-on,Manchester,24579.58,18492.53,New,Annual
R000050,CU000702,O000144,2024-09-13,Security Add-on,London,93079.61,63378.34,New,Annual
R000051,CU000710,O000146,2024-07-17,Enterprise Connectivity,Leeds,15079.41,10255.46,New,Annual
R000052,CU000711,O000147,2024-08-30,Enterprise Connectivity,Manchester,65448.68,54764.74,New,Annual
R000053,CU000730,O000153,2024-09-05,Remote Access,Sheffield,18804.31,15772.83,New,Annual
R000054,CU000731,O000154,2024-08-05,Security Add-on,Birmingham,10019.96,8250.18,New,Annual
R000055,CU000748,O000156,2024-07-13,Enterprise Connectivity,Manchester,18824.23,15989.34,New,Annual
R000056,CU000779,O000162,2024-06-26,Remote Support,Manchester,4468.95,3514.08,New,Annual
R000057,CU000792,O000164,2024-07-26,Enterprise Connectivity,Birmingham,17697.61,14822.04,New,Annual
R000058,CU000817,O000171,2024-08-15,Enterprise Connectivity,Bristol,11711.48,8621.98,New,Annual
R000059,CU000825,O000175,2024-08-19,Security Add-on,Sheffield,15439.68,12802.0,New,Annual
R000060,CU000829,O000177,2024-08-30,Security Add-on,Sheffield,3309.88,2427.06,New,Annual
R000061,CU000859,O000181,2024-09-11,Enterprise Connectivity,London,8474.95,6438.24,New,Annual
R000062,CU000866,O000182,2024-07-26,Security Add-on,Glasgow,15096.91,11930.67,New,Annual
R000063,CU000897,O000186,2024-10-10,Security Add-on,London,11263.03,8400.04,New,Annual
R000064,CU000922,O000191,2024-07-30,Remote Support,London,3403.66,2841.58,New,Annual
R000065,CU000951,O000195,2024-07-25,Enterprise Connectivity,Birmingham,8430.7,6774.38,New,Annual
R000066,CU000974,O000199,2024-09-17,Remote Support,Birmingham,7385.07,5183.61,New,Annual
R000067,CU000993,O000203,2024-10-27,Remote Support,Sheffield,18061.45,12407.48,New,Annual
R000068,CU001034,O000211,2024-09-08,Remote Support,London,5730.77,4004.7,New,Annual
R000069,CU001044,O000212,2024-09-23,Enterprise Connectivity,Bristol,6011.85,5078.58,New,Annual
R000070,CU001045,O000213,2024-09-18,Remote Access,Liverpool,18466.36,15361.35,New,Annual
R000071,CU001046,O000214,2024-09-12,Enterprise Connectivity,Liverpool,63812.27,51424.61,New,Annual
R000072,CU001071,O000217,2024-11-02,Enterprise Connectivity,Manchester,3302.07,2643.95,New,Annual
R000073,CU001080,O000218,2024-10-24,Enterprise Connectivity,Leeds,5655.35,4746.88,New,Annual
R000074,CU001087,O000219,2024-08-28,Enterprise Connectivity,Birmingham,114985.79,95093.3,New,Annual
R000075,CU001096,O000222,2024-08-18,Security Add-on,Bristol,11145.0,8706.27,New,Annual
R000076,CU001122,O000224,2024-08-23,Enterprise Connectivity,Liverpool,76714.13,53226.1,New,Annual
R000077,CU001127,O000226,2024-10-30,Remote Support,London,14531.17,12207.82,New,Annual
R000078,CU001190,O000231,2024-09-23,Remote Support,Glasgow,29030.83,22344.89,New,Annual
R000079,CU001191,O000232,2024-10-15,Remote Support,Sheffield,64050.61,51670.31,New,Annual
R000080,CU001212,O000236,2024-10-30,Enterprise Connectivity,Sheffield,12627.61,10553.92,New,Annual
R000081,CU001292,O000247,2024-12-22,Security Add-on,Bristol,48236.38,40203.18,New,Annual
R000082,CU001293,O000248,2024-10-17,Remote Support,Birmingham,47514.94,36255.62,New,Annual
R000083,CU001311,O000252,2024-09-29,Remote Support,Sheffield,12927.88,9919.14,New,Annual
R000084,CU001353,O000257,2024-10-02,Security Add-on,London,34111.9,26274.94,New,Annual
R000085,CU001375,O000260,2024-10-31,Enterprise Connectivity,Liverpool,10132.19,8185.7,New,Annual
R000086,CU001392,O000264,2024-12-31,Security Add-on,Leeds,44666.88,31533.0,New,Annual
R000087,CU001402,O000267,2024-10-08,Remote Access,Sheffield,46377.04,32215.2,New,Annual
R000088,CU001425,O000273,2024-11-19,Enterprise Connectivity,Leeds,2941.91,2040.36,New,Annual
R000089,CU001480,O000282,2024-11-17,Remote Access,Cardiff,29329.48,21439.22,New,Annual
R000090,CU001483,O000284,2024-12-25,Enterprise Connectivity,Birmingham,61094.71,52450.66,New,Annual
R000091,CU001499,O000287,2025-01-01,Remote Support,Leeds,15931.17,11424.93,New,Annual
R000092,CU001532,O000292,2024-12-13,Remote Access,London,34599.83,26316.15,New,Annual
R000093,CU001549,O000296,2024-11-08,Remote Support,London,43922.04,30955.5,New,Annual
R000094,CU001555,O000298,2025-01-13,Enterprise Connectivity,Birmingham,25818.67,19242.79,New,Annual
R000095,CU001561,O000300,2025-02-02,Security Add-on,Leeds,9366.7,6938.16,New,Annual
R000096,CU001571,O000302,2024-12-22,Remote Support,Birmingham,79986.62,61834.36,New,Annual
R000097,CU001581,O000304,2025-01-05,Remote Support,London,10896.74,7465.35,New,Annual
R000098,CU001595,O000309,2024-12-06,Remote Access,Bristol,50034.45,38202.14,New,Annual
R000099,CU001627,O000314,2025-01-19,Enterprise Connectivity,London,10323.21,7197.82,New,Annual
R000100,CU001631,O000316,2025-01-19,Remote Support,Leeds,72705.33,58700.67,New,Annual
R000101,CU001648,O000319,2025-01-12,Remote Access,Liverpool,8230.29,6982.36,New,Annual
R000102,CU001649,O000320,2025-01-03,Enterprise Connectivity,Edinburgh,19424.08,15656.88,New,Annual
R000103,CU001660,O000323,2025-01-16,Security Add-on,Glasgow,59457.22,41907.84,New,Annual
R000104,CU001733,O000332,2025-03-05,Remote Access,Cardiff,56886.32,45432.4,New,Annual
R000105,CU001740,O000334,2025-01-27,Security Add-on,Birmingham,17317.0,13094.17,New,Annual
R000106,CU001796,O000337,2024-12-12,Enterprise Connectivity,Birmingham,12056.21,8264.16,New,Annual
R000107,CU001797,O000338,2025-03-11,Remote Support,Manchester,5561.09,3928.78,New,Annual
R000108,CU001802,O000339,2025-01-10,Remote Access,Manchester,10290.8,7516.15,New,Annual
R000109,CU001816,O000343,2025-02-02,Enterprise Connectivity,Sheffield,6867.25,5616.94,New,Annual
R000110,CU001833,O000347,2025-02-17,Remote Access,Manchester,13870.14,11250.87,New,Annual
R000111,CU001834,O000348,2025-02-03,Remote Support,Edinburgh,60670.12,44573.67,New,Annual
R000112,CU001853,O000354,2024-12-31,Remote Access,Sheffield,9185.38,7742.04,New,Annual
R000113,CU001855,O000355,2025-01-18,Security Add-on,London,6292.64,5019.33,New,Annual
R000114,CU001901,O000365,2025-02-13,Enterprise Connectivity,London,96789.07,77294.71,New,Annual
R000115,CU001906,O000367,2025-02-26,Remote Access,Manchester,6633.53,4592.1,New,Annual
R000116,CU001908,O000369,2025-02-18,Enterprise Connectivity,Birmingham,6754.96,4797.12,New,Annual
R000117,CU001927,O000373,2025-03-13,Remote Access,London,31510.24,25037.81,New,Annual
R000118,CU001934,O000376,2025-02-19,Remote Access,Birmingham,13336.17,10628.46,New,Annual
R000119,CU001958,O000378,2025-01-11,Security Add-on,Sheffield,15679.44,12553.19,New,Annual
R000120,CU001965,O000381,2025-04-13,Security Add-on,London,8038.9,6521.07,New,Annual
R000121,CU001970,O000383,2025-01-15,Enterprise Connectivity,Glasgow,19104.9,14180.73,New,Annual
R000122,CU001971,O000384,2025-03-03,Enterprise Connectivity,Sheffield,68712.91,52214.86,New,Annual
R000123,CU001993,O000388,2025-02-01,Security Add-on,Sheffield,93080.48,72808.47,New,Annual
R000124,CU001998,O000390,2025-02-17,Remote Access,London,11558.38,8553.4,New,Annual
R000125,CU002028,O000395,2025-03-06,Remote Support,Bristol,4525.53,3654.58,New,Annual
R000126,CU002103,O000406,2025-04-15,Remote Access,Birmingham,21907.81,18621.35,New,Annual
R000127,CU002128,O000410,2025-03-23,Security Add-on,Liverpool,48881.07,37458.68,New,Annual
R000128,CU002191,O000421,2025-04-01,Remote Access,Leeds,46660.39,37184.19,New,Annual
R000129,CU002203,O000426,2025-04-19,Remote Support,Bristol,8269.58,5933.06,New,Annual
R000130,CU002245,O000437,2025-06-20,Remote Support,Bristol,21683.65,14866.4,New,Annual
R000131,CU002254,O000438,2025-05-31,Remote Access,Bristol,39546.07,31601.78,New,Annual
R000132,CU002382,O000457,2025-05-06,Enterprise Connectivity,Manchester,42196.62,35350.96,New,Annual
R000133,CU002414,O000465,2025-05-19,Security Add-on,Bristol,8339.91,7017.32,New,Annual
R000134,CU002426,O000467,2025-06-08,Security Add-on,Glasgow,15499.39,10890.77,New,Annual
R000135,CU002445,O000470,2025-06-05,Remote Access,Manchester,10541.57,7478.32,New,Annual
R000136,CU002451,O000473,2025-06-15,Remote Support,Manchester,6015.45,4897.05,New,Annual
R000137,CU002488,O000478,2025-07-18,Security Add-on,Birmingham,15930.8,13124.46,New,Annual
R000138,CU002512,O000483,2025-06-12,Enterprise Connectivity,Liverpool,8795.74,7247.78,New,Annual
R000139,CU002515,O000485,2025-07-26,Remote Support,Liverpool,15405.04,12304.33,New,Annual
R000140,CU002527,O000486,2025-07-15,Security Add-on,Bristol,142921.54,122794.95,New,Annual
R000141,CU002574,O000495,2025-05-30,Enterprise Connectivity,London,70419.15,56303.31,New,Annual
R000142,CU002582,O000498,2025-07-24,Security Add-on,Sheffield,149935.27,115592.65,New,Annual
R000143,CU002645,O000510,2025-07-20,Enterprise Connectivity,Leeds,37801.36,26012.86,New,Annual
R000144,CU002647,O000511,2025-06-04,Remote Support,Bristol,33680.6,23356.68,New,Annual
R000145,CU002657,O000514,2025-07-16,Security Add-on,Manchester,9961.79,7877.65,New,Annual
R000146,CU002662,O000516,2025-09-06,Enterprise Connectivity,Sheffield,20636.69,14306.18,New,Annual
R000147,CU002665,O000517,2025-08-07,Enterprise Connectivity,Edinburgh,26806.5,21892.5,New,Annual
R000148,CU002689,O000521,2025-06-15,Security Add-on,Edinburgh,25723.13,21862.92,New,Annual
R000149,CU002691,O000522,2025-08-08,Security Add-on,Bristol,42355.13,33380.99,New,Annual
R000150,CU002697,O000524,2025-08-30,Security Add-on,Liverpool,53374.17,44243.85,New,Annual
R000151,CU002700,O000525,2025-06-30,Enterprise Connectivity,Birmingham,5354.39,4482.5,New,Annual
R000152,CU002715,O000527,2025-07-26,Security Add-on,Birmingham,70299.05,48995.91,New,Annual
R000153,CU002764,O000533,2025-06-30,Security Add-on,Cardiff,11354.56,8810.52,New,Annual
R000154,CU002770,O000534,2025-07-12,Security Add-on,Manchester,19398.97,13559.63,New,Annual
R000155,CU002808,O000539,2025-06-25,Enterprise Connectivity,Glasgow,6432.25,4391.34,New,Annual
R000156,CU002816,O000541,2025-09-25,Remote Access,Liverpool,28035.75,19776.28,New,Annual
R000157,CU002833,O000544,2025-08-06,Remote Support,Bristol,19340.47,14269.86,New,Annual
R000158,CU002835,O000545,2025-07-03,Enterprise Connectivity,Edinburgh,6246.5,5038.91,New,Annual
R000159,CU002854,O000549,2025-09-25,Remote Support,Liverpool,32321.24,26797.59,New,Annual
R000160,CU002867,O000551,2025-09-30,Remote Support,Glasgow,53441.9,43590.07,New,Annual
R000161,CU002872,O000552,2025-07-14,Enterprise Connectivity,Sheffield,49998.91,40691.97,New,Annual
R000162,CU002890,O000556,2025-09-27,Remote Access,Sheffield,6382.42,4584.13,New,Annual
R000163,CU002892,O000557,2025-10-17,Remote Access,Bristol,5215.5,3902.18,New,Annual
R000164,CU002897,O000559,2025-09-25,Remote Access,London,55255.31,38629.99,New,Annual
R000165,CU002902,O000560,2025-08-02,Remote Access,London,3880.95,2800.18,New,Annual
R000166,CU002903,O000561,2025-08-16,Enterprise Connectivity,Leeds,60294.04,41160.14,New,Annual
R000167,CU002909,O000562,2025-08-16,Remote Support,Leeds,63810.33,51555.56,New,Annual
R000168,CU002922,O000565,2025-08-26,Remote Access,London,6474.52,4842.16,New,Annual
R000169,CU002929,O000566,2025-09-21,Remote Access,Glasgow,27741.66,23583.48,New,Annual
R000170,CU002941,O000569,2025-08-14,Remote Access,Sheffield,33840.37,26490.43,New,Annual
R000171,CU002944,O000570,2025-08-19,Remote Support,Edinburgh,8689.84,6186.49,New,Annual
R000172,CU002954,O000572,2025-09-25,Security Add-on,Glasgow,11965.55,8966.44,New,Annual
R000173,CU002983,O000574,2025-09-19,Enterprise Connectivity,Bristol,14114.03,11486.74,New,Annual
R000174,CU003012,O000576,2025-09-03,Remote Support,Glasgow,3617.5,2739.72,New,Annual
R000175,CU003020,O000578,2025-10-31,Enterprise Connectivity,Leeds,26972.78,18352.66,New,Annual
R000176,CU003046,O000581,2025-08-13,Remote Access,Sheffield,48156.57,33473.07,New,Annual
R000177,CU003053,O000583,2025-09-17,Remote Access,Sheffield,68032.57,50371.27,New,Annual
R000178,CU003056,O000585,2025-10-08,Remote Support,Manchester,9780.37,6966.97,New,Annual
R000179,CU003072,O000588,2025-08-20,Remote Access,London,18403.59,14378.77,New,Annual
R000180,CU003104,O000594,2025-10-16,Remote Access,Edinburgh,49090.17,35663.62,New,Annual
R000181,CU003114,O000596,2025-10-23,Enterprise Connectivity,Sheffield,17802.22,12823.31,New,Annual
R000182,CU003116,O000598,2025-10-09,Security Add-on,Manchester,67667.98,51809.57,New,Annual
R000183,CU003142,O000603,2025-10-11,Security Add-on,Cardiff,15447.83,11426.64,New,Annual
R000184,CU003145,O000604,2025-11-28,Remote Access,Liverpool,4734.57,3670.83,New,Annual
R000185,CU003159,O000607,2025-10-10,Enterprise Connectivity,Edinburgh,6753.36,4725.46,New,Annual
R000186,CU003164,O000608,2025-10-08,Remote Access,Birmingham,60239.03,51781.3,New,Annual
R000187,CU003168,O000609,2025-11-27,Remote Support,Leeds,9322.15,7780.87,New,Annual
R000188,CU003179,O000612,2025-09-10,Remote Support,Cardiff,34525.94,27138.51,New,Annual
R000189,CU003203,O000615,2025-10-22,Remote Access,London,22256.68,15209.55,New,Annual
R000190,CU003209,O000617,2025-12-08,Enterprise Connectivity,Bristol,5894.52,4414.66,New,Annual
R000191,CU003213,O000618,2025-11-09,Security Add-on,Edinburgh,120313.13,88995.44,New,Annual
R000192,CU003217,O000619,2025-11-04,Remote Support,Glasgow,56277.75,40737.75,New,Annual
R000193,CU003228,O000621,2025-12-06,Remote Access,Glasgow,31988.6,27405.45,New,Annual
R000194,CU003230,O000622,2025-11-22,Remote Access,Cardiff,98543.64,76962.4,New,Annual
R000195,CU003236,O000625,2025-12-06,Security Add-on,London,28212.3,21155.03,New,Annual
R000196,CU003237,O000626,2025-11-29,Remote Access,London,33112.24,25953.53,New,Annual
R000197,CU003266,O000630,2025-10-16,Remote Access,Leeds,97805.0,66557.09,New,Annual
R000198,CU003270,O000631,2025-10-26,Remote Access,Edinburgh,49326.26,37920.53,New,Annual
R000199,CU003279,O000633,2025-09-21,Remote Access,Manchester,12103.0,9934.75,New,Annual
R000200,CU003284,O000634,2025-10-21,Enterprise Connectivity,Sheffield,8714.4,6390.63,New,Annual
R000201,CU003290,O000635,2025-12-18,Security Add-on,London,29972.25,20478.03,New,Annual
R000202,CU003337,O000642,2025-10-31,Remote Support,Birmingham,4809.69,4121.51,New,Annual
R000203,CU003340,O000644,2025-10-12,Remote Access,London,12880.06,10760.1,New,Annual
R000204,CU003341,O000645,2025-12-22,Enterprise Connectivity,London,12496.81,9031.58,New,Annual
R000205,CU003373,O000652,2025-11-20,Enterprise Connectivity,Manchester,10445.79,7129.94,New,Annual
R000206,CU003381,O000653,2025-11-13,Remote Access,Manchester,9640.95,6769.48,New,Annual
R000207,CU003400,O000655,2025-11-10,Remote Support,Edinburgh,6262.89,5367.47,New,Annual
R000208,CU003416,O000658,2025-11-21,Security Add-on,London,21217.52,15833.47,New,Annual
R000209,CU003458,O000665,2025-10-17,Remote Access,London,19356.57,13689.27,New,Annual
R000210,CU003498,O000673,2026-01-26,Remote Access,Birmingham,13852.02,9970.2,New,Annual
R000211,CU003526,O000676,2026-01-07,Remote Access,Bristol,109468.08,88699.69,New,Annual
R000212,CU003543,O000683,2025-12-28,Security Add-on,Bristol,11326.02,9697.87,New,Annual
R000213,CU003547,O000684,2026-01-17,Security Add-on,Glasgow,19483.59,13520.94,New,Annual
R000214,CU003561,O000688,2026-02-02,Remote Support,Liverpool,68392.82,58584.11,New,Annual
R000215,CU003624,O000702,2026-01-18,Enterprise Connectivity,London,62512.85,44185.51,New,Annual
R000216,CU003629,O000703,2025-11-27,Remote Access,Birmingham,33280.46,24590.19,New,Annual
R000217,CU003662,O000708,2026-01-25,Enterprise Connectivity,Manchester,85904.55,68517.85,New,Annual
R000218,CU003676,O000712,2026-02-01,Enterprise Connectivity,Sheffield,71208.59,56683.7,New,Annual
R000219,CU003682,O000713,2026-02-28,Remote Access,Manchester,18982.39,14744.38,New,Annual
R000220,CU003711,O000716,2025-12-23,Remote Access,Leeds,56146.95,46999.06,New,Annual
R000221,CU003719,O000720,2026-02-06,Security Add-on,Edinburgh,64017.37,44886.99,New,Annual
R000222,CU003724,O000722,2026-02-17,Remote Access,Glasgow,10468.3,7839.47,New,Annual
R000223,CU003748,O000724,2025-12-14,Enterprise Connectivity,Birmingham,12969.43,9485.1,New,Annual
R000224,CU003751,O000726,2025-12-17,Enterprise Connectivity,Manchester,5891.92,4906.72,New,Annual
R000225,CU003759,O000728,2026-02-01,Remote Access,London,5272.5,3914.93,New,Annual
R000226,CU003774,O000729,2026-02-07,Remote Support,Liverpool,78495.78,65334.12,New,Annual
R000227,CU003798,O000733,2026-02-12,Remote Access,Cardiff,14354.71,11114.53,New,Annual
R000228,CU003813,O000735,2026-02-27,Remote Support,Glasgow,7805.01,5894.45,New,Annual
R000229,CU003825,O000736,2026-01-13,Enterprise Connectivity,Glasgow,16233.98,12725.82,New,Annual
R000230,CU003827,O000737,2025-12-31,Security Add-on,Birmingham,12930.17,9718.47,New,Annual
R000231,CU003854,O000743,2026-04-01,Remote Support,Leeds,38980.22,28615.37,New,Annual
R000232,CU003861,O000744,2026-01-05,Remote Support,Leeds,4917.37,3877.81,New,Annual
R000233,CU003877,O000747,2026-03-05,Enterprise Connectivity,Liverpool,48499.7,37829.47,New,Annual
R000234,CU003908,O000753,2026-04-07,Remote Access,London,13606.9,9751.0,New,Annual
R000235,CU003914,O000754,2026-03-27,Security Add-on,Leeds,59038.64,45072.34,New,Annual
R000236,CU003919,O000755,2026-04-05,Remote Support,Sheffield,14063.03,9685.02,New,Annual
R000237,CU003940,O000759,2026-04-19,Remote Support,Cardiff,10140.59,7389.33,New,Annual
R000238,CU003966,O000763,2026-04-03,Security Add-on,Glasgow,24380.65,19986.6,New,Annual
R000239,CU003989,O000766,2026-03-08,Enterprise Connectivity,London,6535.52,4474.15,New,Annual
