week_start_date,geo_id,market,channel_id,channel_name,spend_gbp,impressions,clicks,sessions,leads,opportunities,orders,revenue_gbp,baseline_revenue_gbp,promotion_flag,product_launch_flag,seasonality_index,competitor_event_flag,geo_test_id,treatment_flag
2024-01-01,G04,Leeds,CH02,Paid Search - Non-Brand,1290.89,20123,935,1140,40,10,4,17832.96,16995.66,0,0,1.0144644016306388,0,,0
2024-01-01,G04,Leeds,CH03,Paid Social,972.02,97221,1179,1431,38,6,1,15659.99,16143.05,0,0,1.0144644016306388,0,,0
2024-01-01,G04,Leeds,CH04,LinkedIn,647.76,18158,138,139,7,1,0,19527.82,19105.02,0,0,1.0144644016306388,0,,0
2024-01-01,G04,Leeds,CH05,YouTube,658.04,53343,309,317,3,1,0,15343.23,15744.76,0,0,1.0144644016306388,0,,0
2024-01-01,G04,Leeds,CH06,Display,420.61,81969,251,264,2,0,0,16073.57,16595.88,0,0,1.0144644016306388,0,,0
2024-01-01,G05,Bristol,CH01,Paid Search - Brand,602.79,7459,640,665,46,16,4,14034.86,13456.32,0,0,1.0144644016306388,0,,0
2024-01-01,G05,Bristol,CH02,Paid Search - Non-Brand,1213.53,18445,807,843,29,9,3,14672.02,14898.29,0,0,1.0144644016306388,0,,0
2024-01-01,G05,Bristol,CH03,Paid Social,889.45,87399,1029,1031,25,6,2,13300.18,12893.02,0,0,1.0144644016306388,0,,0
2024-01-01,G05,Bristol,CH04,LinkedIn,724.08,20986,173,199,9,2,0,15910.59,16035.3,0,0,1.0144644016306388,0,,0
2024-01-01,G05,Bristol,CH05,YouTube,682.32,56946,349,396,6,1,0,15615.76,14608.79,0,0,1.0144644016306388,0,,0
2024-01-01,G05,Bristol,CH06,Display,392.82,79019,231,268,2,0,0,13372.98,13240.53,0,0,1.0144644016306388,0,,0
2024-01-01,G06,Glasgow,CH01,Paid Search - Brand,417.17,5041,435,472,29,5,1,12528.93,13133.83,0,0,1.0144644016306388,0,,0
2024-01-01,G06,Glasgow,CH02,Paid Search - Non-Brand,1042.8,16302,698,800,38,11,4,14797.97,13395.24,0,0,1.0144644016306388,0,,0
2024-01-01,G06,Glasgow,CH03,Paid Social,792.64,79737,955,1145,28,9,2,14249.44,14120.62,0,0,1.0144644016306388,0,,0
2024-01-01,G06,Glasgow,CH04,LinkedIn,713.37,20668,152,178,7,2,0,13993.49,13600.21,0,0,1.0144644016306388,0,,0
2024-01-01,G06,Glasgow,CH05,YouTube,517.95,43708,239,248,3,0,0,13059.55,12194.27,0,0,1.0144644016306388,0,,0
2024-01-01,G06,Glasgow,CH06,Display,401.35,78858,227,229,2,0,0,13186.74,12853.37,0,0,1.0144644016306388,0,,0
2024-01-01,G07,Liverpool,CH01,Paid Search - Brand,540.43,6620,574,644,44,10,4,13925.73,14109.58,0,0,1.0144644016306388,0,,0
2024-01-01,G07,Liverpool,CH02,Paid Search - Non-Brand,918.26,14015,573,691,27,9,1,12654.17,13023.99,0,0,1.0144644016306388,0,,0
2024-01-01,G07,Liverpool,CH03,Paid Social,715.69,70686,831,850,27,5,1,12701.08,13135.87,0,0,1.0144644016306388,0,,0
2024-01-01,G07,Liverpool,CH04,LinkedIn,633.48,18175,156,165,8,1,0,15327.44,15520.06,0,0,1.0144644016306388,0,,0
2024-01-01,G07,Liverpool,CH05,YouTube,586.82,50425,314,369,5,1,0,14421.21,14358.22,0,0,1.0144644016306388,0,,0
2024-01-01,G07,Liverpool,CH06,Display,384.69,76592,233,248,2,0,0,13973.32,14021.05,0,0,1.0144644016306388,0,,0
2024-01-01,G08,Sheffield,CH01,Paid Search - Brand,475.99,6005,512,565,34,8,3,11727.3,11983.31,0,0,1.0144644016306388,0,,0
2024-01-01,G08,Sheffield,CH02,Paid Search - Non-Brand,935.0,14429,611,733,25,9,3,13674.02,13150.31,0,0,1.0144644016306388,0,,0
2024-01-01,G08,Sheffield,CH03,Paid Social,734.41,75868,892,1045,29,7,2,13895.75,14428.15,0,0,1.0144644016306388,1,,0
2024-01-01,G08,Sheffield,CH04,LinkedIn,561.37,16249,120,148,7,1,0,11855.85,11078.26,0,0,1.0144644016306388,0,,0
2024-01-01,G08,Sheffield,CH05,YouTube,529.92,43415,272,332,4,1,0,12625.92,12751.42,0,0,1.0144644016306388,0,,0
2024-01-01,G08,Sheffield,CH06,Display,296.4,58280,177,193,2,0,0,15402.96,14279.83,0,0,1.0144644016306388,0,,0
2024-01-01,G09,Edinburgh,CH01,Paid Search - Brand,431.45,5566,474,532,38,9,2,10845.42,10907.67,0,0,1.0144644016306388,0,,0
2024-01-01,G09,Edinburgh,CH02,Paid Search - Non-Brand,787.33,12218,539,562,20,5,1,14147.22,13288.67,0,0,1.0144644016306388,0,,0
2024-01-01,G09,Edinburgh,CH03,Paid Social,673.03,67271,911,1017,33,6,2,13230.56,12903.43,0,0,1.0144644016306388,0,,0
2024-01-01,G09,Edinburgh,CH04,LinkedIn,534.05,15330,111,113,4,1,0,13440.03,13467.42,0,0,1.0144644016306388,0,,0
2024-01-01,G09,Edinburgh,CH05,YouTube,567.3,46887,283,309,4,1,0,11801.91,11238.91,0,0,1.0144644016306388,0,,0
2024-01-01,G09,Edinburgh,CH06,Display,275.18,52711,154,174,1,0,0,12821.71,12104.13,0,0,1.0144644016306388,0,,0
2024-01-01,G10,Cardiff,CH01,Paid Search - Brand,348.84,4352,348,377,28,8,2,11540.06,11432.21,0,0,1.0144644016306388,0,,0
2024-01-01,G10,Cardiff,CH02,Paid Search - Non-Brand,839.86,13165,571,617,28,7,2,10528.25,10087.41,0,0,1.0144644016306388,0,,0
2024-01-01,G10,Cardiff,CH03,Paid Social,680.48,68502,822,899,25,8,3,11415.9,10978.68,0,0,1.0144644016306388,0,,0
2024-01-01,G10,Cardiff,CH04,LinkedIn,558.11,15912,130,152,5,1,0,11295.35,10899.68,0,0,1.0144644016306388,0,,0
2024-01-01,G10,Cardiff,CH05,YouTube,473.6,38115,237,291,3,0,0,12049.51,11916.14,0,0,1.0144644016306388,0,,0
2024-01-01,G10,Cardiff,CH06,Display,280.74,57569,170,194,2,0,0,10283.69,10005.91,0,0,1.0144644016306388,0,,0
2024-01-08,G01,London,CH01,Paid Search - Brand,1068.82,13267,1077,1088,64,21,6,28895.57,29676.19,0,0,1.028717879714507,0,,0
2024-01-08,G01,London,CH02,Paid Search - Non-Brand,2072.74,30918,1499,1572,69,18,7,29933.69,29582.27,0,0,1.028717879714507,0,,0
2024-01-08,G01,London,CH03,Paid Social,1576.51,157023,1950,2154,48,17,5,26460.93,24967.23,0,0,1.028717879714507,0,,0
2024-01-08,G01,London,CH04,LinkedIn,1283.1,36216,278,303,12,4,1,28199.62,28965.97,0,0,1.028717879714507,0,,0
2024-01-08,G01,London,CH05,YouTube,1292.44,107356,633,674,9,1,0,27273.97,26433.47,0,0,1.028717879714507,0,,0
2024-01-08,G01,London,CH06,Display,747.29,145047,452,512,4,1,0,27353.07,27676.99,0,0,1.028717879714507,0,,0
2024-01-08,G02,Manchester,CH01,Paid Search - Brand,720.98,8927,754,860,51,14,4,21723.47,22073.63,0,0,1.028717879714507,0,,0
2024-01-08,G02,Manchester,CH02,Paid Search - Non-Brand,1375.69,21467,956,985,47,10,4,21600.74,21259.05,0,0,1.028717879714507,0,,0
2024-01-08,G02,Manchester,CH03,Paid Social,1191.47,120418,1486,1679,49,17,6,20104.79,19382.92,0,0,1.028717879714507,0,,0
2024-01-08,G02,Manchester,CH04,LinkedIn,1030.47,30145,232,252,11,2,0,19216.1,19963.47,0,0,1.028717879714507,0,,0
2024-01-08,G02,Manchester,CH05,YouTube,883.93,71565,392,461,7,2,0,21393.2,20378.65,0,0,1.028717879714507,0,,0
2024-01-08,G02,Manchester,CH06,Display,515.54,101161,300,311,3,1,0,19484.0,19460.36,0,0,1.028717879714507,0,,0
2024-01-08,G03,Birmingham,CH01,Paid Search - Brand,655.06,7669,622,767,40,12,3,22026.21,22138.26,0,0,1.028717879714507,0,,0
2024-01-08,G03,Birmingham,CH02,Paid Search - Non-Brand,1514.93,23403,1011,1244,57,12,3,18371.56,18284.42,0,0,1.028717879714507,0,,0
2024-01-08,G03,Birmingham,CH03,Paid Social,1309.76,130608,1561,1731,43,9,3,22128.38,20816.41,0,0,1.028717879714507,0,,0
2024-01-08,G03,Birmingham,CH04,LinkedIn,894.76,24993,198,225,8,2,0,18370.53,18491.03,0,0,1.028717879714507,0,,0
2024-01-08,G03,Birmingham,CH05,YouTube,806.62,67670,397,464,6,1,0,20977.4,20423.25,0,0,1.028717879714507,0,,0
2024-01-08,G03,Birmingham,CH06,Display,438.5,88670,256,264,2,0,0,20857.14,22452.79,0,0,1.028717879714507,0,,0
2024-01-08,G04,Leeds,CH01,Paid Search - Brand,535.09,6638,548,595,31,10,3,17012.55,16694.49,0,0,1.028717879714507,0,,0
2024-01-08,G04,Leeds,CH02,Paid Search - Non-Brand,1098.8,17097,797,954,37,11,3,13883.74,14325.02,0,0,1.028717879714507,0,,0
2024-01-08,G04,Leeds,CH03,Paid Social,886.29,86691,1049,1186,29,8,3,15604.56,15702.23,0,0,1.028717879714507,0,,0
2024-01-08,G04,Leeds,CH04,LinkedIn,799.78,23157,193,211,9,2,0,17786.35,16833.39,0,0,1.028717879714507,0,,0
2024-01-08,G04,Leeds,CH05,YouTube,768.97,66141,412,430,5,1,0,15411.39,15181.89,0,0,1.028717879714507,0,,0
2024-01-08,G04,Leeds,CH06,Display,446.04,87825,265,318,2,0,0,17012.87,16704.61,0,0,1.028717879714507,0,,0
2024-01-08,G05,Bristol,CH01,Paid Search - Brand,567.99,7355,640,691,39,8,3,15827.07,16096.64,0,0,1.028717879714507,0,,0
2024-01-08,G05,Bristol,CH02,Paid Search - Non-Brand,1177.46,17873,807,916,31,6,1,16820.92,15754.82,0,0,1.028717879714507,0,,0
2024-01-08,G05,Bristol,CH03,Paid Social,958.71,95100,1159,1313,29,8,1,16784.21,16388.27,0,0,1.028717879714507,0,,0
2024-01-08,G05,Bristol,CH04,LinkedIn,759.95,22064,178,194,7,2,0,13591.85,13390.87,0,0,1.028717879714507,0,,0
2024-01-08,G05,Bristol,CH05,YouTube,663.73,55167,328,361,5,1,0,15199.61,15278.02,0,0,1.028717879714507,0,,0
2024-01-08,G05,Bristol,CH06,Display,438.79,86687,262,326,2,0,0,14350.6,14716.83,0,0,1.028717879714507,0,,0
2024-01-08,G06,Glasgow,CH01,Paid Search - Brand,471.36,5993,496,521,39,10,2,12599.24,12433.84,0,0,1.028717879714507,0,,0
2024-01-08,G06,Glasgow,CH02,Paid Search - Non-Brand,1001.08,14871,698,849,37,12,2,12727.3,12683.06,0,0,1.028717879714507,0,,0
2024-01-08,G06,Glasgow,CH03,Paid Social,780.09,80028,958,1118,32,7,1,14863.66,14854.48,0,0,1.028717879714507,0,,0
2024-01-08,G06,Glasgow,CH04,LinkedIn,646.96,17848,141,152,5,1,0,13373.93,12814.99,0,0,1.028717879714507,0,,0
2024-01-08,G06,Glasgow,CH05,YouTube,673.37,56615,346,364,6,1,0,12575.26,12315.55,0,0,1.028717879714507,0,,0
2024-01-08,G06,Glasgow,CH06,Display,314.12,64412,182,217,2,0,0,12976.86,12969.29,0,0,1.028717879714507,0,,0
2024-01-08,G07,Liverpool,CH01,Paid Search - Brand,511.92,6399,575,715,46,12,5,14256.16,13446.6,0,0,1.028717879714507,0,,0
2024-01-08,G07,Liverpool,CH02,Paid Search - Non-Brand,1098.04,17176,771,887,39,8,1,15301.03,14804.86,0,0,1.028717879714507,0,,0
2024-01-08,G07,Liverpool,CH03,Paid Social,937.58,94359,1144,1178,27,7,2,16337.09,16131.79,0,0,1.028717879714507,0,,0
2024-01-08,G07,Liverpool,CH04,LinkedIn,750.7,21749,185,188,7,1,0,12400.73,11719.81,0,0,1.028717879714507,0,,0
2024-01-08,G07,Liverpool,CH05,YouTube,640.21,53344,327,377,5,1,0,13761.85,14142.56,0,0,1.028717879714507,0,,0
2024-01-08,G07,Liverpool,CH06,Display,347.38,69613,191,216,2,0,0,13054.76,13701.11,0,0,1.028717879714507,0,,0
2024-01-08,G08,Sheffield,CH01,Paid Search - Brand,511.42,6073,499,521,33,5,2,14946.25,15269.42,0,0,1.028717879714507,0,,0
2024-01-08,G08,Sheffield,CH02,Paid Search - Non-Brand,1007.07,15304,697,821,34,12,3,13944.64,13745.08,0,0,1.028717879714507,0,,0
2024-01-08,G08,Sheffield,CH03,Paid Social,726.47,72453,853,866,19,6,1,14158.93,13749.85,0,0,1.028717879714507,0,,0
2024-01-08,G08,Sheffield,CH04,LinkedIn,486.68,14345,114,141,5,1,0,13458.82,13166.63,0,0,1.028717879714507,0,,0
2024-01-08,G08,Sheffield,CH05,YouTube,507.88,42177,248,260,3,0,0,13899.52,13059.75,0,0,1.028717879714507,0,,0
2024-01-08,G08,Sheffield,CH06,Display,351.41,69044,196,198,1,0,0,13539.26,12823.18,0,0,1.028717879714507,0,,0
2024-01-08,G09,Edinburgh,CH01,Paid Search - Brand,409.46,5217,485,507,35,12,4,11901.17,11911.67,0,0,1.028717879714507,0,,0
2024-01-08,G09,Edinburgh,CH02,Paid Search - Non-Brand,902.83,13444,610,625,30,10,2,11207.4,11270.5,0,0,1.028717879714507,0,,0
2024-01-08,G09,Edinburgh,CH03,Paid Social,826.92,84908,1075,1116,35,9,1,11024.79,11123.11,0,0,1.028717879714507,0,,0
2024-01-08,G09,Edinburgh,CH04,LinkedIn,644.98,18118,129,138,6,1,0,12690.28,12902.74,0,0,1.028717879714507,0,,0
2024-01-08,G09,Edinburgh,CH05,YouTube,573.59,48218,267,277,4,1,0,13129.4,13088.4,0,0,1.028717879714507,0,,0
2024-01-08,G09,Edinburgh,CH06,Display,332.99,67643,211,259,2,0,0,12986.18,12782.24,0,0,1.028717879714507,0,,0
2024-01-08,G10,Cardiff,CH01,Paid Search - Brand,425.1,5323,455,507,35,10,2,10281.78,9874.92,0,0,1.028717879714507,0,,0
2024-01-08,G10,Cardiff,CH02,Paid Search - Non-Brand,833.88,12717,575,715,27,9,4,11326.46,11049.35,0,0,1.028717879714507,0,,0
2024-01-08,G10,Cardiff,CH03,Paid Social,667.07,65406,783,925,27,7,1,12632.35,11942.37,0,0,1.028717879714507,0,,0
2024-01-08,G10,Cardiff,CH04,LinkedIn,560.76,15935,119,131,6,1,0,10854.97,11042.0,0,0,1.028717879714507,0,,0
2024-01-08,G10,Cardiff,CH05,YouTube,499.46,43294,246,276,4,0,0,11607.37,11368.04,0,0,1.028717879714507,0,,0
2024-01-08,G10,Cardiff,CH06,Display,309.12,62043,178,196,2,0,0,11999.34,11222.13,0,0,1.028717879714507,0,,0
2024-01-15,G01,London,CH01,Paid Search - Brand,977.89,12128,1041,1257,90,23,4,29985.08,30622.13,0,0,1.0425525864451042,0,,0
2024-01-15,G01,London,CH02,Paid Search - Non-Brand,2558.03,37699,1732,1756,79,21,5,26000.87,25133.08,0,0,1.0425525864451042,0,,0
2024-01-15,G01,London,CH03,Paid Social,2011.66,204467,2479,3085,95,28,7,29117.2,28695.8,0,0,1.0425525864451042,0,,0
2024-01-15,G01,London,CH04,LinkedIn,1382.4,38692,293,311,14,5,2,30420.39,30454.69,0,0,1.0425525864451042,0,,0
2024-01-15,G01,London,CH05,YouTube,1180.95,97522,561,569,8,2,0,28223.35,28172.72,0,0,1.0425525864451042,0,,0
2024-01-15,G01,London,CH06,Display,762.29,152608,442,486,4,1,0,29441.22,29073.93,0,0,1.0425525864451042,0,,0
2024-01-15,G02,Manchester,CH01,Paid Search - Brand,761.09,9614,777,819,62,21,8,20161.54,20358.93,0,0,1.0425525864451042,0,,0
2024-01-15,G02,Manchester,CH02,Paid Search - Non-Brand,1661.09,25534,1079,1339,54,18,5,21743.02,20957.75,0,0,1.0425525864451042,0,,0
2024-01-15,G02,Manchester,CH03,Paid Social,1298.18,129851,1528,1753,48,14,4,19047.34,18157.84,0,0,1.0425525864451042,0,,0
2024-01-15,G02,Manchester,CH04,LinkedIn,1002.47,28304,217,232,11,3,1,21775.44,21257.76,0,0,1.0425525864451042,0,,0
2024-01-15,G02,Manchester,CH05,YouTube,775.52,64300,390,458,6,1,0,21548.78,22550.03,0,0,1.0425525864451042,0,,0
2024-01-15,G02,Manchester,CH06,Display,529.34,108285,340,350,3,0,0,18950.29,20066.11,0,0,1.0425525864451042,0,,0
2024-01-15,G03,Birmingham,CH01,Paid Search - Brand,733.71,9056,815,945,49,18,5,20761.03,19273.56,0,0,1.0425525864451042,0,,0
2024-01-15,G03,Birmingham,CH02,Paid Search - Non-Brand,1414.95,21495,876,1083,35,12,3,18345.69,18990.89,0,0,1.0425525864451042,0,,0
2024-01-15,G03,Birmingham,CH03,Paid Social,1119.51,112779,1202,1468,46,13,3,19547.74,19806.7,0,0,1.0425525864451042,0,,0
2024-01-15,G03,Birmingham,CH04,LinkedIn,917.31,25690,201,215,9,2,0,18348.1,18753.42,0,0,1.0425525864451042,0,,0
2024-01-15,G03,Birmingham,CH05,YouTube,794.91,65059,393,427,6,1,0,19095.2,18884.61,0,0,1.0425525864451042,0,,0
2024-01-15,G03,Birmingham,CH06,Display,491.19,99100,277,309,2,0,0,19939.07,19495.82,0,0,1.0425525864451042,0,,0
2024-01-15,G04,Leeds,CH01,Paid Search - Brand,611.8,7490,676,758,55,15,5,16255.56,16041.39,0,0,1.0425525864451042,0,,0
2024-01-15,G04,Leeds,CH02,Paid Search - Non-Brand,1235.24,18474,800,958,37,9,3,14174.77,14043.0,0,0,1.0425525864451042,0,,0
2024-01-15,G04,Leeds,CH03,Paid Social,997.45,102531,1212,1420,37,13,4,15776.62,15587.49,0,0,1.0425525864451042,0,,0
2024-01-15,G04,Leeds,CH04,LinkedIn,796.86,22621,189,189,9,3,0,16059.77,16148.01,0,0,1.0425525864451042,0,,0
2024-01-15,G04,Leeds,CH05,YouTube,708.49,56004,336,347,4,1,0,17091.51,17342.7,0,0,1.0425525864451042,0,,0
2024-01-15,G04,Leeds,CH06,Display,398.64,78724,227,264,2,0,0,15538.43,15641.23,0,0,1.0425525864451042,0,,0
2024-01-15,G05,Bristol,CH01,Paid Search - Brand,520.26,6611,556,643,35,12,3,14897.26,14705.03,0,0,1.0425525864451042,0,,0
2024-01-15,G05,Bristol,CH02,Paid Search - Non-Brand,1016.39,15871,695,791,28,9,3,14467.21,15272.34,0,0,1.0425525864451042,0,,0
2024-01-15,G05,Bristol,CH03,Paid Social,917.2,92509,1111,1359,41,10,2,15602.92,14811.89,0,0,1.0425525864451042,0,,0
2024-01-15,G05,Bristol,CH04,LinkedIn,759.36,21680,162,198,10,1,0,15076.52,14899.2,0,0,1.0425525864451042,0,,0
2024-01-15,G05,Bristol,CH05,YouTube,596.55,49472,281,334,5,0,0,15422.95,15583.27,0,0,1.0425525864451042,0,,0
2024-01-15,G05,Bristol,CH06,Display,371.91,73660,220,260,3,1,0,16410.77,16877.23,0,0,1.0425525864451042,0,,0
2024-01-15,G06,Glasgow,CH01,Paid Search - Brand,487.03,6152,522,571,38,14,5,14596.42,14963.01,0,0,1.0425525864451042,0,,0
2024-01-15,G06,Glasgow,CH02,Paid Search - Non-Brand,929.72,14281,657,771,36,11,3,14674.48,14336.66,0,0,1.0425525864451042,0,,0
2024-01-15,G06,Glasgow,CH03,Paid Social,885.78,88887,1050,1183,30,6,1,15498.26,15982.52,0,0,1.0425525864451042,0,,0
2024-01-15,G06,Glasgow,CH04,LinkedIn,619.04,17664,137,164,6,1,0,13432.72,12683.41,0,0,1.0425525864451042,0,,0
2024-01-15,G06,Glasgow,CH05,YouTube,554.99,44952,268,308,4,1,0,15983.2,15719.77,0,0,1.0425525864451042,0,,0
2024-01-15,G06,Glasgow,CH06,Display,348.14,69102,201,246,2,0,0,13356.05,13262.01,0,0,1.0425525864451042,0,,0
2024-01-15,G07,Liverpool,CH01,Paid Search - Brand,463.48,5750,473,543,28,5,2,13819.51,13404.77,0,0,1.0425525864451042,0,,0
2024-01-15,G07,Liverpool,CH02,Paid Search - Non-Brand,1066.23,16172,740,897,38,13,3,13060.39,12905.34,0,0,1.0425525864451042,0,,0
2024-01-15,G07,Liverpool,CH03,Paid Social,875.66,91165,1084,1219,30,5,1,14355.32,14426.37,0,0,1.0425525864451042,0,,0
2024-01-15,G07,Liverpool,CH04,LinkedIn,724.75,19537,156,171,8,2,0,14652.27,14800.57,0,0,1.0425525864451042,0,,0
2024-01-15,G07,Liverpool,CH05,YouTube,660.14,54787,323,369,4,0,0,15918.47,15646.96,0,0,1.0425525864451042,0,,0
2024-01-15,G07,Liverpool,CH06,Display,382.13,77266,241,251,2,0,0,13232.76,14028.4,0,0,1.0425525864451042,0,,0
2024-01-15,G08,Sheffield,CH01,Paid Search - Brand,402.71,4945,411,498,36,13,3,13275.36,12833.75,0,0,1.0425525864451042,0,,0
2024-01-15,G08,Sheffield,CH02,Paid Search - Non-Brand,956.84,14771,617,732,28,7,2,13690.88,12932.39,0,0,1.0425525864451042,0,,0
2024-01-15,G08,Sheffield,CH03,Paid Social,900.22,92059,1120,1238,33,9,2,12620.24,12664.77,0,0,1.0425525864451042,0,,0
2024-01-15,G08,Sheffield,CH04,LinkedIn,677.04,19153,152,184,8,2,0,13189.21,13505.48,0,0,1.0425525864451042,0,,0
2024-01-15,G08,Sheffield,CH05,YouTube,598.11,48492,292,298,4,1,0,12017.52,11736.13,0,0,1.0425525864451042,0,,0
2024-01-15,G08,Sheffield,CH06,Display,334.56,67670,202,231,1,0,0,11162.42,11607.75,0,0,1.0425525864451042,0,,0
2024-01-15,G09,Edinburgh,CH01,Paid Search - Brand,464.47,5795,482,485,28,9,2,12844.62,12697.16,0,0,1.0425525864451042,0,,0
2024-01-15,G09,Edinburgh,CH02,Paid Search - Non-Brand,951.02,14915,660,683,22,5,1,14621.55,13578.87,0,0,1.0425525864451042,0,,0
2024-01-15,G09,Edinburgh,CH03,Paid Social,678.77,70734,831,962,22,6,2,13793.59,12861.22,0,0,1.0425525864451042,0,,0
2024-01-15,G09,Edinburgh,CH04,LinkedIn,638.1,18254,136,166,8,1,0,14719.85,14690.36,0,0,1.0425525864451042,0,,0
2024-01-15,G09,Edinburgh,CH05,YouTube,523.35,44426,251,299,4,1,0,12958.48,13224.24,0,0,1.0425525864451042,0,,0
2024-01-15,G09,Edinburgh,CH06,Display,339.63,67815,207,235,2,0,0,13704.13,13569.19,0,0,1.0425525864451042,0,,0
2024-01-15,G10,Cardiff,CH01,Paid Search - Brand,380.19,4663,397,415,23,7,2,11711.58,11627.47,0,0,1.0425525864451042,0,,0
2024-01-15,G10,Cardiff,CH02,Paid Search - Non-Brand,798.47,12040,535,586,20,7,2,12636.65,11647.75,0,0,1.0425525864451042,0,,0
2024-01-15,G10,Cardiff,CH03,Paid Social,726.7,72817,902,1017,26,4,1,11978.87,12482.19,0,0,1.0425525864451042,0,,0
2024-01-15,G10,Cardiff,CH04,LinkedIn,565.14,15898,126,146,7,1,0,12872.75,12290.18,0,0,1.0425525864451042,0,,0
2024-01-15,G10,Cardiff,CH05,YouTube,464.68,40018,241,286,4,1,0,14689.09,13709.48,0,0,1.0425525864451042,0,,0
2024-01-15,G10,Cardiff,CH06,Display,303.35,59698,175,191,1,0,0,10851.01,10677.77,0,0,1.0425525864451042,0,,0
2024-01-22,G01,London,CH01,Paid Search - Brand,1050.32,13383,1181,1248,75,25,10,26235.56,26838.9,0,0,1.0557667806452522,0,,0
2024-01-22,G01,London,CH02,Paid Search - Non-Brand,2173.9,33043,1618,1833,80,29,6,29326.52,28915.74,0,0,1.0557667806452522,0,,0
2024-01-22,G01,London,CH03,Paid Social,1832.77,177995,2181,2251,74,23,5,28746.64,29462.24,0,0,1.0557667806452522,0,,0
2024-01-22,G01,London,CH04,LinkedIn,1852.63,50302,415,509,19,6,1,33106.16,34244.86,0,0,1.0557667806452522,0,,0
2024-01-22,G01,London,CH05,YouTube,1227.0,100564,638,655,8,1,0,34192.39,33187.13,0,0,1.0557667806452522,0,,0
2024-01-22,G01,London,CH06,Display,805.81,156446,461,545,5,0,0,28080.25,27742.52,0,0,1.0557667806452522,0,,0
2024-01-22,G02,Manchester,CH01,Paid Search - Brand,696.21,8488,707,848,51,13,3,19019.4,19837.1,0,0,1.0557667806452522,0,,0
2024-01-22,G02,Manchester,CH02,Paid Search - Non-Brand,1691.67,25405,1124,1282,46,9,3,19997.74,20914.07,0,0,1.0557667806452522,0,,0
2024-01-22,G02,Manchester,CH03,Paid Social,1248.72,125958,1593,1936,61,13,4,22366.99,22207.28,0,0,1.0557667806452522,0,,0
2024-01-22,G02,Manchester,CH04,LinkedIn,1051.74,30047,232,269,9,3,0,25438.26,23737.22,0,0,1.0557667806452522,0,,0
2024-01-22,G02,Manchester,CH05,YouTube,925.83,76844,494,537,9,2,0,21259.01,21563.37,0,0,1.0557667806452522,0,,0
