lead_id,customer_id,created_date,first_touch_channel,last_touch_channel,campaign_id,market,industry,company_size_band,product_interest,engagement_score,lead_status,mql_flag,sql_flag
L000017,CU000017,2024-01-04,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LON,London,Education,1000+,Security Add-on,60.3,MQL,1,0
L000018,CU000018,2024-01-04,Organic Search,Organic Search,CMP_ORG_LIV,Liverpool,Technology,50-249,Security Add-on,60.7,New,0,0
L000019,CU000019,2024-01-04,LinkedIn,LinkedIn,CMP_LIN_LON,London,Healthcare,50-249,Enterprise Connectivity,81.2,SQL,1,1
L000020,CU000020,2024-01-04,Organic Search,Organic Search,CMP_ORG_MAN,Manchester,Manufacturing,1000+,Security Add-on,36.3,SQL,1,1
L000021,CU000021,2024-01-05,Paid Social,Paid Social,CMP_PAI_SHE,Sheffield,Education,1-49,Remote Support,28.0,New,0,0
L000022,CU000022,2024-01-05,Paid Search - Brand,Paid Search - Brand,CMP_PAI_MAN,Manchester,Manufacturing,250-999,Remote Access,52.5,New,0,0
L000023,CU000023,2024-01-05,Email,Email,CMP_EMA_CAR,Cardiff,Manufacturing,250-999,Security Add-on,62.5,New,0,0
L000024,CU000024,2024-01-05,Partner,Partner,CMP_PAR_LON,London,Healthcare,250-999,Remote Support,98.9,MQL,1,0
L000025,CU000025,2024-01-06,Email,Email,CMP_EMA_SHE,Sheffield,Education,1-49,Remote Access,47.4,New,0,0
L000026,CU000026,2024-01-06,Organic Search,Organic Search,CMP_ORG_CAR,Cardiff,Manufacturing,50-249,Security Add-on,86.3,New,0,0
L000027,CU000027,2024-01-07,LinkedIn,LinkedIn,CMP_LIN_MAN,Manchester,Retail,1-49,Enterprise Connectivity,89.6,SQL,1,1
L000028,CU000028,2024-01-07,Partner,Partner,CMP_PAR_BIR,Birmingham,Retail,250-999,Remote Support,44.6,SQL,1,1
L000029,CU000029,2024-01-07,Direct,Direct,CMP_DIR_LEE,Leeds,Manufacturing,1-49,Remote Access,71.2,New,0,0
L000030,CU000030,2024-01-07,Direct,Direct,CMP_DIR_LEE,Leeds,Education,250-999,Enterprise Connectivity,47.7,SQL,1,1
L000031,CU000031,2024-01-07,Organic Search,Organic Search,CMP_ORG_LIV,Liverpool,Professional Services,50-249,Enterprise Connectivity,69.7,MQL,1,0
L000032,CU000032,2024-01-07,LinkedIn,LinkedIn,CMP_LIN_BIR,Birmingham,Education,1-49,Enterprise Connectivity,62.6,MQL,1,0
L000033,CU000033,2024-01-07,Events,Events,CMP_EVE_SHE,Sheffield,Education,1-49,Remote Support,71.6,New,0,0
L000034,CU000034,2024-01-08,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LON,London,Healthcare,50-249,Enterprise Connectivity,72.3,New,0,0
L000035,CU000035,2024-01-08,Paid Social,Paid Social,CMP_PAI_LIV,Liverpool,Healthcare,1-49,Security Add-on,55.3,New,0,0
L000036,CU000036,2024-01-08,Paid Search - Brand,Paid Search - Brand,CMP_PAI_SHE,Sheffield,Education,50-249,Security Add-on,88.7,SQL,1,1
L000037,CU000037,2024-01-09,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LEE,Leeds,Education,1-49,Remote Support,72.6,MQL,1,0
L000038,CU000038,2024-01-09,Direct,Direct,CMP_DIR_BRI,Bristol,Technology,1000+,Enterprise Connectivity,58.3,New,0,0
L000039,CU000039,2024-01-09,LinkedIn,LinkedIn,CMP_LIN_BIR,Birmingham,Manufacturing,250-999,Remote Access,78.2,MQL,1,0
L000040,CU000040,2024-01-09,Events,Events,CMP_EVE_BRI,Bristol,Technology,50-249,Security Add-on,73.7,MQL,1,0
L000041,CU000041,2024-01-09,Partner,Partner,CMP_PAR_LIV,Liverpool,Manufacturing,50-249,Remote Access,56.7,New,0,0
L000042,CU000042,2024-01-09,Direct,Direct,CMP_DIR_LEE,Leeds,Technology,1000+,Remote Support,61.1,SQL,1,1
L000043,CU000043,2024-01-10,Paid Search - Brand,Paid Search - Brand,CMP_PAI_EDI,Edinburgh,Education,50-249,Security Add-on,45.3,MQL,1,0
L000044,CU000044,2024-01-10,Direct,Direct,CMP_DIR_LEE,Leeds,Manufacturing,1-49,Remote Support,90.3,SQL,1,1
L000045,CU000045,2024-01-10,Organic Search,Organic Search,CMP_ORG_BIR,Birmingham,Retail,50-249,Enterprise Connectivity,86.9,MQL,1,0
L000046,CU000046,2024-01-10,Events,Events,CMP_EVE_MAN,Manchester,Manufacturing,250-999,Security Add-on,60.1,New,0,0
L000047,CU000047,2024-01-10,Email,Email,CMP_EMA_LEE,Leeds,Manufacturing,250-999,Security Add-on,77.9,MQL,1,0
L000048,CU000048,2024-01-11,Paid Social,Paid Social,CMP_PAI_LIV,Liverpool,Professional Services,50-249,Security Add-on,24.5,New,0,0
L000049,CU000049,2024-01-11,Organic Search,Organic Search,CMP_ORG_LIV,Liverpool,Education,1-49,Security Add-on,66.6,New,0,0
L000050,CU000050,2024-01-11,LinkedIn,LinkedIn,CMP_LIN_LEE,Leeds,Education,1000+,Enterprise Connectivity,85.2,SQL,1,1
L000051,CU000051,2024-01-11,Direct,Direct,CMP_DIR_LON,London,Healthcare,1-49,Remote Support,64.8,SQL,1,1
L000052,CU000052,2024-01-11,Paid Social,Paid Social,CMP_PAI_MAN,Manchester,Healthcare,50-249,Security Add-on,60.9,SQL,1,1
L000053,CU000053,2024-01-11,Organic Search,Organic Search,CMP_ORG_GLA,Glasgow,Retail,50-249,Remote Support,81.8,SQL,1,1
L000054,CU000054,2024-01-11,Direct,Direct,CMP_DIR_LEE,Leeds,Manufacturing,1-49,Enterprise Connectivity,68.3,MQL,1,0
L000055,CU000055,2024-01-12,Paid Search - Brand,Paid Search - Brand,CMP_PAI_CAR,Cardiff,Technology,1-49,Remote Access,51.6,New,0,0
L000056,CU000056,2024-01-12,Organic Search,Organic Search,CMP_ORG_MAN,Manchester,Manufacturing,50-249,Security Add-on,55.6,SQL,1,1
L000057,CU000057,2024-01-12,Partner,Partner,CMP_PAR_LEE,Leeds,Manufacturing,250-999,Remote Access,71.8,New,0,0
L000058,CU000058,2024-01-13,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_MAN,Manchester,Technology,1000+,Enterprise Connectivity,48.9,New,0,0
L000059,CU000059,2024-01-13,Partner,Partner,CMP_PAR_LON,London,Manufacturing,250-999,Security Add-on,72.4,SQL,1,1
L000060,CU000060,2024-01-13,Partner,Partner,CMP_PAR_MAN,Manchester,Technology,1-49,Remote Access,77.4,SQL,1,1
L000061,CU000061,2024-01-13,Partner,Partner,CMP_PAR_MAN,Manchester,Education,50-249,Remote Support,40.2,MQL,1,0
L000062,CU000062,2024-01-13,Paid Social,Paid Social,CMP_PAI_LON,London,Technology,50-249,Remote Access,60.0,MQL,1,0
L000063,CU000063,2024-01-13,Organic Search,Organic Search,CMP_ORG_BRI,Bristol,Healthcare,50-249,Remote Access,67.7,New,0,0
L000064,CU000064,2024-01-14,Partner,Partner,CMP_PAR_LON,London,Technology,250-999,Remote Access,50.4,SQL,1,1
L000065,CU000065,2024-01-14,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_MAN,Manchester,Technology,50-249,Remote Access,67.7,SQL,1,1
L000066,CU000066,2024-01-14,Events,Events,CMP_EVE_LON,London,Technology,1000+,Remote Access,63.0,New,0,0
L000067,CU000067,2024-01-14,Paid Social,Paid Social,CMP_PAI_BIR,Birmingham,Professional Services,250-999,Enterprise Connectivity,51.5,New,0,0
L000068,CU000068,2024-01-14,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LEE,Leeds,Healthcare,50-249,Remote Access,92.1,SQL,1,1
L000069,CU000069,2024-01-14,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LEE,Leeds,Manufacturing,250-999,Enterprise Connectivity,76.4,New,0,0
L000070,CU000070,2024-01-14,Display,Display,CMP_DIS_LIV,Liverpool,Technology,1000+,Enterprise Connectivity,85.9,SQL,1,1
L000071,CU000071,2024-01-15,Direct,Direct,CMP_DIR_LEE,Leeds,Professional Services,50-249,Remote Access,62.5,MQL,1,0
L000072,CU000072,2024-01-15,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LEE,Leeds,Education,50-249,Remote Access,50.4,New,0,0
L000073,CU000073,2024-01-15,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_MAN,Manchester,Technology,50-249,Enterprise Connectivity,60.6,New,0,0
L000074,CU000074,2024-01-16,LinkedIn,LinkedIn,CMP_LIN_LON,London,Retail,250-999,Remote Support,81.2,SQL,1,1
L000075,CU000075,2024-01-16,Paid Search - Brand,Paid Search - Brand,CMP_PAI_GLA,Glasgow,Healthcare,50-249,Security Add-on,69.4,SQL,1,1
L000076,CU000076,2024-01-16,Email,Email,CMP_EMA_MAN,Manchester,Education,250-999,Security Add-on,71.8,New,0,0
L000077,CU000077,2024-01-16,Events,Events,CMP_EVE_LON,London,Manufacturing,1-49,Remote Access,74.5,SQL,1,1
L000078,CU000078,2024-01-16,Paid Social,Paid Social,CMP_PAI_LON,London,Retail,50-249,Security Add-on,49.8,New,0,0
L000079,CU000079,2024-01-16,Paid Search - Brand,Paid Search - Brand,CMP_PAI_BRI,Bristol,Manufacturing,50-249,Remote Support,51.7,MQL,1,0
L000080,CU000080,2024-01-16,Direct,Direct,CMP_DIR_BRI,Bristol,Technology,1000+,Remote Access,48.7,SQL,1,1
L000081,CU000081,2024-01-16,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_EDI,Edinburgh,Professional Services,1-49,Remote Support,64.8,MQL,1,0
L000082,CU000082,2024-01-16,Paid Social,Paid Social,CMP_PAI_LEE,Leeds,Manufacturing,1000+,Enterprise Connectivity,55.1,SQL,1,1
L000083,CU000083,2024-01-16,LinkedIn,LinkedIn,CMP_LIN_LEE,Leeds,Technology,250-999,Remote Access,72.9,SQL,1,1
L000084,CU000084,2024-01-17,Email,Email,CMP_EMA_EDI,Edinburgh,Manufacturing,1-49,Enterprise Connectivity,60.8,New,0,0
L000085,CU000085,2024-01-17,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LIV,Liverpool,Education,1000+,Enterprise Connectivity,50.7,New,0,0
L000086,CU000086,2024-01-17,Direct,Direct,CMP_DIR_GLA,Glasgow,Retail,1000+,Remote Support,39.6,MQL,1,0
L000087,CU000087,2024-01-17,Events,Events,CMP_EVE_BRI,Bristol,Manufacturing,250-999,Security Add-on,52.5,MQL,1,0
L000088,CU000088,2024-01-17,Events,Events,CMP_EVE_LEE,Leeds,Technology,1000+,Remote Access,40.8,MQL,1,0
L000089,CU000089,2024-01-17,YouTube,YouTube,CMP_YOU_LON,London,Professional Services,250-999,Remote Support,40.9,MQL,1,0
L000090,CU000090,2024-01-17,Events,Events,CMP_EVE_BIR,Birmingham,Technology,1000+,Security Add-on,65.5,MQL,1,0
L000091,CU000091,2024-01-18,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_BRI,Bristol,Professional Services,50-249,Remote Access,75.8,New,0,0
L000092,CU000092,2024-01-18,Partner,Partner,CMP_PAR_LEE,Leeds,Education,50-249,Remote Support,13.5,New,0,0
L000093,CU000093,2024-01-18,Email,Email,CMP_EMA_MAN,Manchester,Professional Services,50-249,Enterprise Connectivity,75.3,SQL,1,1
L000094,CU000094,2024-01-19,Paid Social,Paid Social,CMP_PAI_EDI,Edinburgh,Retail,50-249,Enterprise Connectivity,62.9,New,0,0
L000095,CU000095,2024-01-20,Paid Search - Brand,Paid Search - Brand,CMP_PAI_BRI,Bristol,Education,1-49,Enterprise Connectivity,51.1,New,0,0
L000096,CU000096,2024-01-20,Paid Search - Brand,Paid Search - Brand,CMP_PAI_BIR,Birmingham,Education,50-249,Security Add-on,44.6,New,0,0
L000097,CU000097,2024-01-20,Email,Email,CMP_EMA_BIR,Birmingham,Education,1-49,Enterprise Connectivity,65.9,New,0,0
L000098,CU000098,2024-01-20,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LON,London,Professional Services,50-249,Security Add-on,46.3,New,0,0
L000099,CU000099,2024-01-21,Partner,Partner,CMP_PAR_LON,London,Healthcare,50-249,Security Add-on,60.2,MQL,1,0
L000100,CU000100,2024-01-21,Direct,Direct,CMP_DIR_LEE,Leeds,Technology,50-249,Remote Access,68.9,MQL,1,0
L000101,CU000101,2024-01-21,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_BIR,Birmingham,Professional Services,1000+,Security Add-on,59.4,New,0,0
L000102,CU000102,2024-01-21,Email,Email,CMP_EMA_LON,London,Education,250-999,Remote Access,56.2,New,0,0
L000103,CU000103,2024-01-21,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LON,London,Manufacturing,1-49,Security Add-on,63.2,New,0,0
L000104,CU000104,2024-01-22,Partner,Partner,CMP_PAR_LON,London,Professional Services,1-49,Remote Support,53.5,MQL,1,0
L000105,CU000105,2024-01-22,LinkedIn,LinkedIn,CMP_LIN_MAN,Manchester,Manufacturing,250-999,Security Add-on,65.1,New,0,0
L000106,CU000106,2024-01-22,Paid Search - Brand,Paid Search - Brand,CMP_PAI_BIR,Birmingham,Manufacturing,50-249,Remote Access,62.6,SQL,1,1
L000107,CU000107,2024-01-22,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_BIR,Birmingham,Education,250-999,Remote Access,64.3,New,0,0
L000108,CU000108,2024-01-22,Paid Search - Brand,Paid Search - Brand,CMP_PAI_GLA,Glasgow,Healthcare,50-249,Enterprise Connectivity,58.7,New,0,0
L000109,CU000109,2024-01-22,Direct,Direct,CMP_DIR_MAN,Manchester,Professional Services,1-49,Enterprise Connectivity,74.1,SQL,1,1
L000110,CU000110,2024-01-23,Events,Events,CMP_EVE_LEE,Leeds,Manufacturing,250-999,Remote Access,70.6,SQL,1,1
L000111,CU000111,2024-01-23,Paid Search - Brand,Paid Search - Brand,CMP_PAI_CAR,Cardiff,Retail,50-249,Enterprise Connectivity,60.4,New,0,0
L000112,CU000112,2024-01-23,Paid Search - Brand,Paid Search - Brand,CMP_PAI_BIR,Birmingham,Healthcare,1-49,Security Add-on,65.6,SQL,1,1
L000113,CU000113,2024-01-23,Paid Social,Paid Social,CMP_PAI_LON,London,Healthcare,50-249,Enterprise Connectivity,47.1,MQL,1,0
L000114,CU000114,2024-01-23,Partner,Partner,CMP_PAR_BIR,Birmingham,Professional Services,50-249,Remote Access,72.4,New,0,0
L000115,CU000115,2024-01-23,Partner,Partner,CMP_PAR_LON,London,Healthcare,50-249,Remote Access,55.4,New,0,0
L000116,CU000116,2024-01-24,Direct,Direct,CMP_DIR_LEE,Leeds,Manufacturing,50-249,Enterprise Connectivity,83.3,New,0,0
L000117,CU000117,2024-01-24,Email,Email,CMP_EMA_CAR,Cardiff,Education,50-249,Remote Access,51.8,New,0,0
L000118,CU000118,2024-01-24,LinkedIn,LinkedIn,CMP_LIN_LEE,Leeds,Technology,50-249,Remote Access,71.6,MQL,1,0
L000119,CU000119,2024-01-25,Events,Events,CMP_EVE_BIR,Birmingham,Professional Services,50-249,Enterprise Connectivity,77.1,MQL,1,0
L000120,CU000120,2024-01-25,Paid Search - Brand,Paid Search - Brand,CMP_PAI_BIR,Birmingham,Healthcare,50-249,Remote Support,57.8,SQL,1,1
L000121,CU000121,2024-01-25,Organic Search,Organic Search,CMP_ORG_MAN,Manchester,Education,250-999,Security Add-on,55.0,New,0,0
L000122,CU000122,2024-01-25,Partner,Partner,CMP_PAR_LON,London,Healthcare,50-249,Security Add-on,75.3,New,0,0
L000123,CU000123,2024-01-25,Partner,Partner,CMP_PAR_BIR,Birmingham,Healthcare,250-999,Security Add-on,61.0,New,0,0
L000124,CU000124,2024-01-25,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LIV,Liverpool,Technology,250-999,Remote Support,68.9,New,0,0
L000125,CU000125,2024-01-26,Partner,Partner,CMP_PAR_MAN,Manchester,Education,250-999,Remote Support,59.1,SQL,1,1
L000126,CU000126,2024-01-26,Organic Search,Organic Search,CMP_ORG_GLA,Glasgow,Technology,1000+,Remote Access,67.7,New,0,0
L000127,CU000127,2024-01-27,LinkedIn,LinkedIn,CMP_LIN_BRI,Bristol,Education,250-999,Security Add-on,81.3,SQL,1,1
L000128,CU000128,2024-01-27,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_SHE,Sheffield,Healthcare,1000+,Remote Access,63.4,New,0,0
L000129,CU000129,2024-01-27,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_CAR,Cardiff,Professional Services,1000+,Remote Support,71.7,New,0,0
L000130,CU000130,2024-01-27,Paid Social,Paid Social,CMP_PAI_LON,London,Healthcare,250-999,Security Add-on,61.1,SQL,1,1
L000131,CU000131,2024-01-27,Organic Search,Organic Search,CMP_ORG_BIR,Birmingham,Manufacturing,1-49,Remote Support,39.2,New,0,0
L000132,CU000132,2024-01-27,Events,Events,CMP_EVE_LIV,Liverpool,Education,250-999,Security Add-on,73.7,MQL,1,0
L000133,CU000133,2024-01-28,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LEE,Leeds,Manufacturing,1-49,Security Add-on,52.5,MQL,1,0
L000134,CU000134,2024-01-28,Direct,Direct,CMP_DIR_GLA,Glasgow,Manufacturing,50-249,Remote Support,56.7,MQL,1,0
L000135,CU000135,2024-01-28,Paid Social,Paid Social,CMP_PAI_LIV,Liverpool,Technology,1-49,Remote Support,31.5,New,0,0
L000136,CU000136,2024-01-28,Paid Social,Paid Social,CMP_PAI_LIV,Liverpool,Manufacturing,1-49,Enterprise Connectivity,51.5,New,0,0
L000137,CU000137,2024-01-28,Display,Display,CMP_DIS_BIR,Birmingham,Retail,50-249,Remote Support,70.2,SQL,1,1
L000138,CU000138,2024-01-28,Organic Search,Organic Search,CMP_ORG_LON,London,Manufacturing,50-249,Remote Support,50.1,New,0,0
L000139,CU000139,2024-01-29,Paid Search - Brand,Paid Search - Brand,CMP_PAI_EDI,Edinburgh,Healthcare,1000+,Remote Support,92.7,MQL,1,0
L000140,CU000140,2024-01-29,Direct,Direct,CMP_DIR_LON,London,Education,1000+,Security Add-on,81.5,MQL,1,0
L000141,CU000141,2024-01-29,Partner,Partner,CMP_PAR_EDI,Edinburgh,Technology,50-249,Remote Access,56.5,MQL,1,0
L000142,CU000142,2024-01-29,Paid Search - Brand,Paid Search - Brand,CMP_PAI_CAR,Cardiff,Retail,250-999,Remote Access,59.9,MQL,1,0
L000143,CU000143,2024-01-29,Paid Social,Paid Social,CMP_PAI_SHE,Sheffield,Technology,1000+,Enterprise Connectivity,59.4,New,0,0
L000144,CU000144,2024-01-30,Email,Email,CMP_EMA_LON,London,Healthcare,50-249,Remote Access,56.9,New,0,0
L000145,CU000145,2024-01-30,LinkedIn,LinkedIn,CMP_LIN_BRI,Bristol,Manufacturing,50-249,Security Add-on,96.1,MQL,1,0
L000146,CU000146,2024-01-30,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_SHE,Sheffield,Manufacturing,250-999,Enterprise Connectivity,54.1,New,0,0
L000147,CU000147,2024-01-30,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LIV,Liverpool,Education,250-999,Remote Support,63.6,MQL,1,0
L000148,CU000148,2024-01-30,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_EDI,Edinburgh,Professional Services,1000+,Remote Support,48.9,New,0,0
L000149,CU000149,2024-01-30,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_BIR,Birmingham,Technology,250-999,Remote Support,62.3,New,0,0
L000150,CU000150,2024-01-30,Paid Search - Brand,Paid Search - Brand,CMP_PAI_MAN,Manchester,Technology,1-49,Remote Support,54.9,SQL,1,1
L000151,CU000151,2024-01-30,Email,Email,CMP_EMA_LIV,Liverpool,Technology,250-999,Enterprise Connectivity,50.5,MQL,1,0
L000152,CU000152,2024-01-30,Email,Email,CMP_EMA_LON,London,Retail,250-999,Enterprise Connectivity,60.2,New,0,0
L000153,CU000153,2024-01-31,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LON,London,Manufacturing,50-249,Remote Access,51.4,New,0,0
L000154,CU000154,2024-01-31,Direct,Direct,CMP_DIR_MAN,Manchester,Healthcare,50-249,Security Add-on,62.6,New,0,0
L000155,CU000155,2024-01-31,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LEE,Leeds,Manufacturing,250-999,Enterprise Connectivity,57.0,New,0,0
L000156,CU000156,2024-01-31,Paid Search - Brand,Paid Search - Brand,CMP_PAI_LEE,Leeds,Manufacturing,250-999,Remote Support,89.8,SQL,1,1
L000157,CU000157,2024-02-01,Partner,Partner,CMP_PAR_LEE,Leeds,Education,50-249,Remote Access,66.3,SQL,1,1
L000158,CU000158,2024-02-01,Paid Search - Brand,Paid Search - Brand,CMP_PAI_BRI,Bristol,Professional Services,250-999,Enterprise Connectivity,83.4,MQL,1,0
L000159,CU000159,2024-02-01,Partner,Partner,CMP_PAR_LON,London,Technology,50-249,Remote Access,70.4,New,0,0
L000160,CU000160,2024-02-01,Paid Search - Brand,Paid Search - Brand,CMP_PAI_EDI,Edinburgh,Manufacturing,250-999,Enterprise Connectivity,56.0,MQL,1,0
L000161,CU000161,2024-02-01,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_MAN,Manchester,Professional Services,1-49,Security Add-on,74.1,New,0,0
L000162,CU000162,2024-02-01,Organic Search,Organic Search,CMP_ORG_MAN,Manchester,Technology,1-49,Enterprise Connectivity,81.6,MQL,1,0
L000163,CU000163,2024-02-02,Paid Social,Paid Social,CMP_PAI_SHE,Sheffield,Education,50-249,Remote Access,35.1,New,0,0
L000164,CU000164,2024-02-02,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LON,London,Technology,1000+,Remote Support,61.2,SQL,1,1
L000165,CU000165,2024-02-02,Paid Social,Paid Social,CMP_PAI_BRI,Bristol,Technology,1-49,Enterprise Connectivity,50.5,New,0,0
L000166,CU000166,2024-02-02,Paid Social,Paid Social,CMP_PAI_LIV,Liverpool,Education,250-999,Security Add-on,64.0,MQL,1,0
L000167,CU000167,2024-02-02,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LIV,Liverpool,Education,50-249,Security Add-on,55.8,New,0,0
L000168,CU000168,2024-02-02,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LIV,Liverpool,Manufacturing,250-999,Remote Access,51.1,SQL,1,1
L000169,CU000169,2024-02-02,Partner,Partner,CMP_PAR_CAR,Cardiff,Manufacturing,250-999,Remote Support,78.7,New,0,0
L000170,CU000170,2024-02-03,Paid Social,Paid Social,CMP_PAI_SHE,Sheffield,Retail,1-49,Remote Access,37.2,New,0,0
L000171,CU000171,2024-02-03,Organic Search,Organic Search,CMP_ORG_GLA,Glasgow,Professional Services,1-49,Remote Access,65.1,New,0,0
L000172,CU000172,2024-02-03,Direct,Direct,CMP_DIR_SHE,Sheffield,Professional Services,250-999,Security Add-on,60.7,New,0,0
L000173,CU000173,2024-02-03,Partner,Partner,CMP_PAR_LON,London,Manufacturing,50-249,Enterprise Connectivity,65.4,New,0,0
L000174,CU000174,2024-02-03,Events,Events,CMP_EVE_LIV,Liverpool,Education,250-999,Security Add-on,59.2,MQL,1,0
L000175,CU000175,2024-02-04,Email,Email,CMP_EMA_LEE,Leeds,Healthcare,50-249,Remote Access,53.9,SQL,1,1
L000176,CU000176,2024-02-04,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LON,London,Education,1-49,Security Add-on,69.5,New,0,0
L000177,CU000177,2024-02-04,Email,Email,CMP_EMA_SHE,Sheffield,Healthcare,250-999,Remote Support,57.4,SQL,1,1
L000178,CU000178,2024-02-04,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_SHE,Sheffield,Manufacturing,250-999,Security Add-on,60.2,SQL,1,1
L000179,CU000179,2024-02-04,LinkedIn,LinkedIn,CMP_LIN_GLA,Glasgow,Professional Services,250-999,Remote Support,70.4,New,0,0
L000180,CU000180,2024-02-04,Organic Search,Organic Search,CMP_ORG_GLA,Glasgow,Retail,50-249,Remote Access,86.5,SQL,1,1
L000181,CU000181,2024-02-04,Direct,Direct,CMP_DIR_LEE,Leeds,Retail,250-999,Enterprise Connectivity,81.3,MQL,1,0
L000182,CU000182,2024-02-04,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_LIV,Liverpool,Retail,1000+,Remote Support,66.0,SQL,1,1
L000183,CU000183,2024-02-05,Paid Search - Non-Brand,Paid Search - Non-Brand,CMP_PAI_MAN,Manchester,Manufacturing,50-249,Remote Access,65.7,SQL,1,1
L000184,CU000184,2024-02-05,LinkedIn,LinkedIn,CMP_LIN_LEE,Leeds,Technology,1000+,Enterprise Connectivity,95.6,SQL,1,1
L000185,CU000185,2024-02-05,Direct,Direct,CMP_DIR_LON,London,Retail,250-999,Security Add-on,71.8,SQL,1,1
L000186,CU000186,2024-02-05,Email,Email,CMP_EMA_MAN,Manchester,Manufacturing,1000+,Enterprise Connectivity,64.2,SQL,1,1
L000187,CU000187,2024-02-06,Organic Search,Organic Search,CMP_ORG_GLA,Glasgow,Professional Services,1-49,Enterprise Connectivity,91.7,MQL,1,0
