customer_id,lead_id,acquisition_channel,acquisition_campaign,customer_start_date,initial_revenue_gbp,renewal_revenue_gbp,expansion_revenue_gbp,total_revenue_gbp,gross_margin_gbp,retention_months,churn_flag,actual_ltv_gbp
CU000403,L000403,Paid Search - Non-Brand,CMP_PAI_BIR,2024-06-06,34801.0,42841.02,0.0,77642.02,63002.92,33,0,77642.02
CU000435,L000435,Paid Search - Non-Brand,CMP_PAI_LEE,2024-05-02,63250.43,46324.16,0.0,109574.59,83321.13,22,0,109574.59
CU000444,L000444,Events,CMP_EVE_BRI,2024-07-03,4592.51,0.0,1478.49,6071.0,4411.57,18,1,6071.0
CU000446,L000446,Partner,CMP_PAR_BIR,2024-05-01,18204.74,10768.69,1748.13,30721.55,21556.4,19,0,30721.55
CU000457,L000457,Paid Search - Brand,CMP_PAI_EDI,2024-06-17,47542.75,0.0,0.0,47542.75,37605.13,29,1,47542.75
CU000472,L000472,Events,CMP_EVE_LON,2024-05-12,101315.61,56760.15,0.0,158075.76,123817.55,23,0,158075.76
CU000482,L000482,Partner,CMP_PAR_BIR,2024-05-30,54173.34,59132.5,0.0,113305.84,77405.91,16,0,113305.84
CU000493,L000493,Direct,CMP_DIR_GLA,2024-05-20,5730.48,5578.88,1596.51,12905.88,10201.73,8,0,12905.88
CU000501,L000501,Partner,CMP_PAR_EDI,2024-04-26,24783.75,0.0,0.0,24783.75,20348.52,11,1,24783.75
CU000506,L000506,YouTube,CMP_YOU_BRI,2024-06-20,21409.79,0.0,0.0,21409.79,15822.26,8,1,21409.79
CU000514,L000514,Direct,CMP_DIR_BIR,2024-05-28,24473.94,23238.99,8950.88,56663.81,43463.43,22,0,56663.81
CU000561,L000561,Paid Search - Brand,CMP_PAI_EDI,2024-06-04,5494.21,5211.81,0.0,10706.01,8213.49,34,0,10706.01
CU000600,L000600,Partner,CMP_PAR_GLA,2024-08-07,7072.87,0.0,0.0,7072.87,5280.8,15,1,7072.87
CU000651,L000651,Email,CMP_EMA_LEE,2024-05-30,31102.58,38256.38,0.0,69358.96,55612.42,30,0,69358.96
CU000672,L000672,Paid Search - Non-Brand,CMP_PAI_LEE,2024-08-12,14742.41,0.0,4467.94,19210.34,14041.19,15,1,19210.34
CU000684,L000684,Paid Search - Brand,CMP_PAI_EDI,2024-07-04,41097.69,24227.45,0.0,65325.14,46987.84,15,0,65325.14
CU000687,L000687,Organic Search,CMP_ORG_MAN,2024-06-29,24579.58,24155.53,0.0,48735.12,39291.69,13,0,48735.12
CU000702,L000702,Paid Search - Non-Brand,CMP_PAI_LON,2024-09-13,93079.61,74202.27,0.0,167281.87,132040.09,22,0,167281.87
CU000710,L000710,LinkedIn,CMP_LIN_LEE,2024-07-17,15079.41,0.0,0.0,15079.41,12042.99,14,1,15079.41
CU000711,L000711,YouTube,CMP_YOU_MAN,2024-08-30,65448.68,40106.98,0.0,105555.66,86370.12,32,0,105555.66
CU000730,L000730,Paid Search - Non-Brand,CMP_PAI_SHE,2024-09-05,18804.31,0.0,0.0,18804.31,13994.95,17,1,18804.31
CU000731,L000731,Paid Search - Brand,CMP_PAI_BIR,2024-08-05,10019.96,11235.62,0.0,21255.58,16450.69,10,0,21255.58
CU000748,L000748,Events,CMP_EVE_MAN,2024-07-13,18824.23,12366.75,1328.35,32519.33,23548.98,36,0,32519.33
CU000779,L000779,Direct,CMP_DIR_MAN,2024-06-26,4468.95,3345.15,0.0,7814.1,6639.83,35,0,7814.1
CU000792,L000792,LinkedIn,CMP_LIN_BIR,2024-07-26,17697.61,13378.34,0.0,31075.95,25782.16,18,0,31075.95
CU000817,L000817,LinkedIn,CMP_LIN_BRI,2024-08-15,11711.48,8541.54,0.0,20253.01,13946.52,18,0,20253.01
CU000825,L000825,Organic Search,CMP_ORG_SHE,2024-08-19,15439.68,12425.07,0.0,27864.74,22544.21,23,0,27864.74
CU000829,L000829,Paid Social,CMP_PAI_SHE,2024-08-30,3309.88,2192.72,0.0,5502.6,4687.3,23,0,5502.6
CU000859,L000859,Email,CMP_EMA_LON,2024-09-11,8474.95,0.0,0.0,8474.95,7150.17,13,1,8474.95
CU000866,L000866,Direct,CMP_DIR_GLA,2024-07-26,15096.91,0.0,0.0,15096.91,12450.37,15,1,15096.91
CU000897,L000897,Events,CMP_EVE_LON,2024-10-10,11263.03,7189.43,0.0,18452.46,13845.41,10,0,18452.46
CU000922,L000922,Events,CMP_EVE_LON,2024-07-30,3403.66,0.0,0.0,3403.66,2810.38,9,1,3403.66
CU000951,L000951,Paid Search - Brand,CMP_PAI_BIR,2024-07-25,8430.7,4838.96,0.0,13269.66,10690.48,36,0,13269.66
CU000974,L000974,Display,CMP_DIS_BIR,2024-09-17,7385.07,8004.96,2812.46,18202.48,14531.49,25,0,18202.48
CU000993,L000993,Email,CMP_EMA_SHE,2024-10-27,18061.45,12485.26,2421.68,32968.39,26861.48,19,0,32968.39
CU001034,L001034,Paid Search - Non-Brand,CMP_PAI_LON,2024-09-08,5730.77,0.0,0.0,5730.77,4312.04,33,1,5730.77
CU001044,L001044,Email,CMP_EMA_BRI,2024-09-23,6011.85,3499.84,0.0,9511.68,7164.68,11,0,9511.68
CU001045,L001045,Email,CMP_EMA_LIV,2024-09-18,18466.36,23043.32,0.0,41509.68,32366.52,27,0,41509.68
CU001046,L001046,Paid Search - Non-Brand,CMP_PAI_LIV,2024-09-12,63812.27,38542.44,11404.47,113759.18,91505.5,9,0,113759.18
CU001071,L001071,Direct,CMP_DIR_MAN,2024-11-02,3302.07,2385.62,0.0,5687.68,3885.11,28,0,5687.68
CU001080,L001080,Organic Search,CMP_ORG_LEE,2024-10-24,5655.35,0.0,1659.23,7314.58,5266.75,28,1,7314.58
CU001087,L001087,LinkedIn,CMP_LIN_BIR,2024-08-28,114985.79,127240.11,0.0,242225.89,168856.13,23,0,242225.89
CU001096,L001096,Paid Search - Non-Brand,CMP_PAI_BRI,2024-08-18,11145.0,11561.18,1664.69,24370.87,18091.38,21,0,24370.87
CU001122,L001122,Events,CMP_EVE_LIV,2024-08-23,76714.13,50264.79,7470.62,134449.54,108951.97,8,0,134449.54
CU001127,L001127,LinkedIn,CMP_LIN_LON,2024-10-30,14531.17,0.0,0.0,14531.17,11282.91,19,1,14531.17
CU001190,L001190,Partner,CMP_PAR_GLA,2024-09-23,29030.83,25145.2,1878.63,56054.65,43169.1,18,0,56054.65
CU001191,L001191,Direct,CMP_DIR_SHE,2024-10-15,64050.61,0.0,12664.02,76714.63,53245.79,12,1,76714.63
CU001212,L001212,Paid Search - Brand,CMP_PAI_SHE,2024-10-30,12627.61,13192.5,989.95,26810.05,20530.08,29,0,26810.05
CU001292,L001292,Events,CMP_EVE_BRI,2024-12-22,48236.38,57313.59,0.0,105549.97,73941.51,18,0,105549.97
CU001293,L001293,LinkedIn,CMP_LIN_BIR,2024-10-17,47514.94,28786.06,0.0,76300.99,54930.42,14,0,76300.99
CU001311,L001311,Email,CMP_EMA_SHE,2024-09-29,12927.88,14387.93,0.0,27315.81,22641.65,19,0,27315.81
CU001353,L001353,Paid Search - Brand,CMP_PAI_LON,2024-10-02,34111.9,0.0,0.0,34111.9,25292.35,35,1,34111.9
CU001375,L001375,Paid Social,CMP_PAI_LIV,2024-10-31,10132.19,9191.14,0.0,19323.34,13754.51,13,0,19323.34
CU001392,L001392,Paid Search - Non-Brand,CMP_PAI_LEE,2024-12-31,44666.88,54170.33,0.0,98837.22,77841.08,11,0,98837.22
CU001402,L001402,YouTube,CMP_YOU_SHE,2024-10-08,46377.04,0.0,8528.43,54905.48,45123.85,31,1,54905.48
CU001425,L001425,Organic Search,CMP_ORG_LEE,2024-11-19,2941.91,0.0,232.59,3174.5,2572.86,29,1,3174.5
CU001480,L001480,Paid Search - Non-Brand,CMP_PAI_CAR,2024-11-17,29329.48,33216.39,10594.0,73139.86,60364.83,26,0,73139.86
CU001483,L001483,Direct,CMP_DIR_BIR,2024-12-25,61094.71,55137.59,0.0,116232.3,81849.49,33,0,116232.3
CU001499,L001499,Paid Search - Brand,CMP_PAI_LEE,2025-01-01,15931.17,0.0,1066.3,16997.47,14161.25,16,1,16997.47
CU001532,L001532,Partner,CMP_PAR_LON,2024-12-13,34599.83,27744.87,0.0,62344.7,42397.74,30,0,62344.7
CU001549,L001549,Email,CMP_EMA_LON,2024-11-08,43922.04,28786.9,0.0,72708.95,50062.7,21,0,72708.95
CU001555,L001555,Organic Search,CMP_ORG_BIR,2025-01-13,25818.67,18926.96,0.0,44745.63,31919.85,9,0,44745.63
CU001561,L001561,Email,CMP_EMA_LEE,2025-02-02,9366.7,7039.22,2440.68,18846.59,16195.85,18,0,18846.59
CU001571,L001571,Paid Search - Non-Brand,CMP_PAI_BIR,2024-12-22,79986.62,82139.91,14356.68,176483.21,127016.15,11,0,176483.21
CU001581,L001581,Partner,CMP_PAR_LON,2025-01-05,10896.74,7461.65,0.0,18358.39,12997.09,30,0,18358.39
CU001595,L001595,Paid Search - Non-Brand,CMP_PAI_BRI,2024-12-06,50034.45,0.0,0.0,50034.45,35592.47,14,1,50034.45
CU001627,L001627,Direct,CMP_DIR_LON,2025-01-19,10323.21,8465.48,0.0,18788.69,14704.24,10,0,18788.69
CU001631,L001631,LinkedIn,CMP_LIN_LEE,2025-01-19,72705.33,0.0,0.0,72705.33,53123.66,9,1,72705.33
CU001648,L001648,Email,CMP_EMA_LIV,2025-01-12,8230.29,7773.09,702.36,16705.74,12553.66,13,0,16705.74
CU001649,L001649,Direct,CMP_DIR_EDI,2025-01-03,19424.08,17656.68,0.0,37080.76,29635.53,12,0,37080.76
CU001660,L001660,Organic Search,CMP_ORG_GLA,2025-01-16,59457.22,52746.41,0.0,112203.62,85006.14,21,0,112203.62
CU001733,L001733,LinkedIn,CMP_LIN_CAR,2025-03-05,56886.32,0.0,9584.22,66470.54,54040.68,20,1,66470.54
CU001740,L001740,Paid Search - Brand,CMP_PAI_BIR,2025-01-27,17317.0,15691.83,0.0,33008.83,25322.74,12,0,33008.83
CU001796,L001796,YouTube,CMP_YOU_BIR,2024-12-12,12056.21,0.0,0.0,12056.21,8585.3,17,1,12056.21
CU001797,L001797,Paid Social,CMP_PAI_MAN,2025-03-11,5561.09,0.0,1869.93,7431.02,5536.08,27,1,7431.02
CU001802,L001802,Email,CMP_EMA_MAN,2025-01-10,10290.8,7622.15,0.0,17912.96,12963.7,9,0,17912.96
CU001816,L001816,Organic Search,CMP_ORG_SHE,2025-02-02,6867.25,6305.48,387.96,13560.69,10848.93,15,0,13560.69
CU001833,L001833,LinkedIn,CMP_LIN_MAN,2025-02-17,13870.14,0.0,0.0,13870.14,10318.74,30,1,13870.14
CU001834,L001834,Partner,CMP_PAR_EDI,2025-02-03,60670.12,71679.26,6516.7,138866.08,103121.69,15,0,138866.08
CU001853,L001853,Partner,CMP_PAR_SHE,2024-12-31,9185.38,10436.87,2803.55,22425.8,16454.74,36,0,22425.8
CU001855,L001855,LinkedIn,CMP_LIN_LON,2025-01-18,6292.64,5421.25,0.0,11713.9,9645.71,15,0,11713.9
CU001901,L001901,Organic Search,CMP_ORG_LON,2025-02-13,96789.07,92185.37,5024.29,193998.72,164317.97,24,0,193998.72
CU001906,L001906,Paid Search - Non-Brand,CMP_PAI_MAN,2025-02-26,6633.53,0.0,0.0,6633.53,5235.54,22,1,6633.53
CU001908,L001908,Events,CMP_EVE_BIR,2025-02-18,6754.96,5975.66,698.34,13428.95,10247.16,28,0,13428.95
CU001927,L001927,Paid Search - Brand,CMP_PAI_LON,2025-03-13,31510.24,37637.51,0.0,69147.76,56457.32,8,0,69147.76
CU001934,L001934,Paid Social,CMP_PAI_BIR,2025-02-19,13336.17,11149.03,1132.39,25617.59,18963.71,18,0,25617.59
CU001958,L001958,Paid Search - Brand,CMP_PAI_SHE,2025-01-11,15679.44,16097.41,0.0,31776.85,23152.98,9,0,31776.85
CU001965,L001965,Partner,CMP_PAR_LON,2025-04-13,8038.9,5737.2,0.0,13776.11,10411.95,8,0,13776.11
CU001970,L001970,LinkedIn,CMP_LIN_GLA,2025-01-15,19104.9,15118.37,0.0,34223.26,25293.09,15,0,34223.26
CU001971,L001971,Organic Search,CMP_ORG_SHE,2025-03-03,68712.91,62754.9,0.0,131467.81,111331.44,31,0,131467.81
CU001993,L001993,LinkedIn,CMP_LIN_SHE,2025-02-01,93080.48,0.0,0.0,93080.48,70895.33,27,1,93080.48
CU001998,L001998,LinkedIn,CMP_LIN_LON,2025-02-17,11558.38,0.0,0.0,11558.38,8293.46,20,1,11558.38
CU002028,L002028,Paid Search - Brand,CMP_PAI_BRI,2025-03-06,4525.53,0.0,0.0,4525.53,3580.86,22,1,4525.53
CU002103,L002103,Paid Search - Non-Brand,CMP_PAI_BIR,2025-04-15,21907.81,27336.14,0.0,49243.96,37391.9,30,0,49243.96
CU002128,L002128,LinkedIn,CMP_LIN_LIV,2025-03-23,48881.07,51529.38,0.0,100410.45,72032.57,31,0,100410.45
CU002191,L002191,Direct,CMP_DIR_LEE,2025-04-01,46660.39,43103.93,0.0,89764.31,63242.63,34,0,89764.31
CU002203,L002203,Email,CMP_EMA_BRI,2025-04-19,8269.58,0.0,2600.34,10869.92,7809.17,13,1,10869.92
CU002245,L002245,Organic Search,CMP_ORG_BRI,2025-06-20,21683.65,11944.22,7395.99,41023.86,31227.64,21,0,41023.86
CU002254,L002254,Email,CMP_EMA_BRI,2025-05-31,39546.07,34301.47,15548.56,89396.1,70741.7,10,0,89396.1
CU002382,L002382,Direct,CMP_DIR_MAN,2025-05-06,42196.62,26630.48,15132.8,83959.9,58933.94,13,0,83959.9
CU002414,L002414,Email,CMP_EMA_BRI,2025-05-19,8339.91,4787.67,2254.46,15382.05,11624.95,27,0,15382.05
CU002426,L002426,Paid Search - Brand,CMP_PAI_GLA,2025-06-08,15499.39,12123.6,1441.6,29064.59,21484.31,23,0,29064.59
CU002445,L002445,Paid Social,CMP_PAI_MAN,2025-06-05,10541.57,10521.27,0.0,21062.84,15869.55,33,0,21062.84
CU002451,L002451,Direct,CMP_DIR_MAN,2025-06-15,6015.45,4809.83,0.0,10825.28,7852.16,31,0,10825.28
CU002488,L002488,Paid Search - Brand,CMP_PAI_BIR,2025-07-18,15930.8,18271.21,0.0,34202.0,25453.54,20,0,34202.0
CU002512,L002512,Email,CMP_EMA_LIV,2025-06-12,8795.74,8763.15,0.0,17558.9,13673.09,16,0,17558.9
CU002515,L002515,LinkedIn,CMP_LIN_LIV,2025-07-26,15405.04,11829.1,0.0,27234.14,21371.29,26,0,27234.14
CU002527,L002527,Events,CMP_EVE_BRI,2025-07-15,142921.54,0.0,0.0,142921.54,102853.09,31,1,142921.54
CU002574,L002574,Email,CMP_EMA_LON,2025-05-30,70419.15,57511.29,0.0,127930.44,102630.54,27,0,127930.44
CU002582,L002582,LinkedIn,CMP_LIN_SHE,2025-07-24,149935.27,162050.68,0.0,311985.95,229072.38,16,0,311985.95
CU002645,L002645,LinkedIn,CMP_LIN_LEE,2025-07-20,37801.36,35809.62,0.0,73610.98,59447.42,15,0,73610.98
CU002647,L002647,Organic Search,CMP_ORG_BRI,2025-06-04,33680.6,0.0,0.0,33680.6,27006.98,23,1,33680.6
CU002657,L002657,Events,CMP_EVE_MAN,2025-07-16,9961.79,7897.48,1136.4,18995.67,15674.85,20,0,18995.67
CU002662,L002662,Paid Search - Non-Brand,CMP_PAI_SHE,2025-09-06,20636.69,0.0,0.0,20636.69,15442.68,21,1,20636.69
CU002665,L002665,Paid Search - Non-Brand,CMP_PAI_EDI,2025-08-07,26806.5,28649.72,8552.52,64008.74,44509.58,28,0,64008.74
CU002689,L002689,Partner,CMP_PAR_EDI,2025-06-15,25723.13,24250.04,0.0,49973.17,42650.25,33,0,49973.17
CU002691,L002691,Organic Search,CMP_ORG_BRI,2025-08-08,42355.13,44445.53,0.0,86800.66,68701.14,24,0,86800.66
CU002697,L002697,Direct,CMP_DIR_LIV,2025-08-30,53374.17,50351.31,14563.02,118288.51,87032.09,34,0,118288.51
CU002700,L002700,Partner,CMP_PAR_BIR,2025-06-30,5354.39,6345.58,527.62,12227.6,9990.16,16,0,12227.6
CU002715,L002715,YouTube,CMP_YOU_BIR,2025-07-26,70299.05,49925.87,0.0,120224.91,84787.28,31,0,120224.91
CU002764,L002764,Paid Search - Brand,CMP_PAI_CAR,2025-06-30,11354.56,8350.21,3421.39,23126.16,16330.79,20,0,23126.16
CU002770,L002770,Partner,CMP_PAR_MAN,2025-07-12,19398.97,13252.24,5771.2,38422.4,28099.63,33,0,38422.4
CU002808,L002808,LinkedIn,CMP_LIN_GLA,2025-06-25,6432.25,7919.21,0.0,14351.46,11080.63,22,0,14351.46
CU002816,L002816,Events,CMP_EVE_LIV,2025-09-25,28035.75,0.0,0.0,28035.75,21499.72,27,1,28035.75
CU002833,L002833,Email,CMP_EMA_BRI,2025-08-06,19340.47,11088.13,4044.36,34472.96,24093.8,16,0,34472.96
CU002835,L002835,LinkedIn,CMP_LIN_EDI,2025-07-03,6246.5,7652.18,0.0,13898.67,11041.35,13,0,13898.67
CU002854,L002854,Paid Search - Brand,CMP_PAI_LIV,2025-09-25,32321.24,18877.73,0.0,51198.97,39508.4,34,0,51198.97
CU002867,L002867,Paid Search - Non-Brand,CMP_PAI_GLA,2025-09-30,53441.9,55253.54,0.0,108695.43,77427.07,18,0,108695.43
CU002872,L002872,Partner,CMP_PAR_SHE,2025-07-14,49998.91,0.0,3728.07,53726.98,41749.94,22,1,53726.98
CU002890,L002890,Email,CMP_EMA_SHE,2025-09-27,6382.42,5890.89,1021.82,13295.12,9144.97,30,0,13295.12
CU002892,L002892,Paid Search - Non-Brand,CMP_PAI_BRI,2025-10-17,5215.5,6072.57,0.0,11288.07,9028.7,28,0,11288.07
CU002897,L002897,Email,CMP_EMA_LON,2025-09-25,55255.31,30991.61,0.0,86246.92,71698.94,30,0,86246.92
CU002902,L002902,Events,CMP_EVE_LON,2025-08-02,3880.95,3874.21,1069.86,8825.03,7106.58,18,0,8825.03
CU002903,L002903,Organic Search,CMP_ORG_LEE,2025-08-16,60294.04,35461.27,0.0,95755.31,66711.45,27,0,95755.31
CU002909,L002909,Paid Search - Non-Brand,CMP_PAI_LEE,2025-08-16,63810.33,50495.52,0.0,114305.85,96852.52,15,0,114305.85
CU002922,L002922,Paid Search - Non-Brand,CMP_PAI_LON,2025-08-26,6474.52,0.0,0.0,6474.52,4742.46,11,1,6474.52
CU002929,L002929,Email,CMP_EMA_GLA,2025-09-21,27741.66,33507.54,0.0,61249.2,46038.46,23,0,61249.2
CU002941,L002941,LinkedIn,CMP_LIN_SHE,2025-08-14,33840.37,0.0,0.0,33840.37,23386.07,9,1,33840.37
CU002944,L002944,Paid Social,CMP_PAI_EDI,2025-08-19,8689.84,5511.22,0.0,14201.06,11453.07,34,0,14201.06
CU002954,L002954,Paid Search - Non-Brand,CMP_PAI_GLA,2025-09-25,11965.55,0.0,0.0,11965.55,10154.47,9,1,11965.55
CU002983,L002983,Display,CMP_DIS_BRI,2025-09-19,14114.03,17031.99,0.0,31146.02,26684.22,10,0,31146.02
CU003012,L003012,Email,CMP_EMA_GLA,2025-09-03,3617.5,4210.17,0.0,7827.66,6613.0,35,0,7827.66
CU003020,L003020,Organic Search,CMP_ORG_LEE,2025-10-31,26972.78,15217.53,0.0,42190.3,33650.79,33,0,42190.3
CU003046,L003046,Email,CMP_EMA_SHE,2025-08-13,48156.57,37936.22,0.0,86092.79,61670.42,11,0,86092.79
CU003053,L003053,LinkedIn,CMP_LIN_SHE,2025-09-17,68032.57,56478.53,0.0,124511.09,95247.62,21,0,124511.09
CU003056,L003056,Organic Search,CMP_ORG_MAN,2025-10-08,9780.37,6399.46,0.0,16179.83,11180.22,29,0,16179.83
CU003072,L003072,Email,CMP_EMA_LON,2025-08-20,18403.59,20031.7,0.0,38435.3,26967.48,10,0,38435.3
CU003104,L003104,Paid Search - Brand,CMP_PAI_EDI,2025-10-16,49090.17,0.0,0.0,49090.17,38531.69,14,1,49090.17
CU003114,L003114,Paid Search - Brand,CMP_PAI_SHE,2025-10-23,17802.22,14369.83,0.0,32172.05,25093.88,24,0,32172.05
CU003116,L003116,Events,CMP_EVE_MAN,2025-10-09,67667.98,0.0,0.0,67667.98,49441.3,28,1,67667.98
CU003142,L003142,Direct,CMP_DIR_CAR,2025-10-11,15447.83,0.0,4325.78,19773.61,14402.78,33,1,19773.61
CU003145,L003145,Paid Search - Non-Brand,CMP_PAI_LIV,2025-11-28,4734.57,0.0,0.0,4734.57,3406.71,36,1,4734.57
CU003159,L003159,Email,CMP_EMA_EDI,2025-10-10,6753.36,7617.8,375.89,14747.04,11284.58,17,0,14747.04
CU003164,L003164,Partner,CMP_PAR_BIR,2025-10-08,60239.03,0.0,0.0,60239.03,49497.21,17,1,60239.03
CU003168,L003168,LinkedIn,CMP_LIN_LEE,2025-11-27,9322.15,11032.5,0.0,20354.65,16227.98,30,0,20354.65
CU003179,L003179,LinkedIn,CMP_LIN_CAR,2025-09-10,34525.94,36052.43,4494.16,75072.52,55016.48,18,0,75072.52
CU003203,L003203,LinkedIn,CMP_LIN_LON,2025-10-22,22256.68,0.0,0.0,22256.68,18846.0,21,1,22256.68
CU003209,L003209,Partner,CMP_PAR_BRI,2025-12-08,5894.52,6671.04,0.0,12565.56,9467.03,24,0,12565.56
CU003213,L003213,Paid Search - Brand,CMP_PAI_EDI,2025-11-09,120313.13,0.0,15877.05,136190.17,96115.01,20,1,136190.17
CU003217,L003217,Paid Social,CMP_PAI_GLA,2025-11-04,56277.75,40104.97,3346.64,99729.37,83446.58,9,0,99729.37
CU003228,L003228,LinkedIn,CMP_LIN_GLA,2025-12-06,31988.6,25427.48,0.0,57416.08,44949.25,21,0,57416.08
CU003230,L003230,LinkedIn,CMP_LIN_CAR,2025-11-22,98543.64,62909.53,0.0,161453.17,120460.65,22,0,161453.17
CU003236,L003236,Paid Social,CMP_PAI_LON,2025-12-06,28212.3,33084.52,0.0,61296.82,49951.26,36,0,61296.82
CU003237,L003237,LinkedIn,CMP_LIN_LON,2025-11-29,33112.24,18592.24,5279.15,56983.62,45129.7,28,0,56983.62
CU003266,L003266,LinkedIn,CMP_LIN_LEE,2025-10-16,97805.0,80081.68,0.0,177886.68,149583.45,14,0,177886.68
CU003270,L003270,LinkedIn,CMP_LIN_EDI,2025-10-26,49326.26,58490.17,0.0,107816.43,78718.57,14,0,107816.43
CU003279,L003279,Organic Search,CMP_ORG_MAN,2025-09-21,12103.0,10306.67,0.0,22409.67,17777.46,12,0,22409.67
CU003284,L003284,Paid Search - Brand,CMP_PAI_SHE,2025-10-21,8714.4,0.0,2623.11,11337.51,7797.33,23,1,11337.51
CU003290,L003290,Email,CMP_EMA_LON,2025-12-18,29972.25,37382.38,0.0,67354.63,56122.57,20,0,67354.63
CU003337,L003337,Email,CMP_EMA_BIR,2025-10-31,4809.69,0.0,0.0,4809.69,3817.62,32,1,4809.69
CU003340,L003340,LinkedIn,CMP_LIN_LON,2025-10-12,12880.06,15587.11,0.0,28467.17,22518.49,13,0,28467.17
CU003341,L003341,Paid Search - Brand,CMP_PAI_LON,2025-12-22,12496.81,14188.87,0.0,26685.68,21854.91,34,0,26685.68
