opportunity_id,lead_id,customer_id,created_date,close_date,product_id,opportunity_stage,pipeline_value_gbp,expected_value_gbp,closed_won_flag,closed_lost_flag,sales_cycle_days,loss_reason
O000038,L000180,CU000180,2024-02-07,2024-05-16,Security Add-on,Closed Lost,13873.99,4717.16,0,1,99,Competitor
O000039,L000182,CU000182,2024-02-08,2024-05-14,Remote Access,Closed Lost,79005.69,22121.59,0,1,96,Competitor
O000040,L000184,CU000184,2024-02-19,2024-05-21,Enterprise Connectivity,Closed Won,63128.61,30301.73,1,0,92,
O000041,L000185,CU000185,2024-02-14,2024-04-01,Remote Access,Closed Lost,18353.6,5139.01,0,1,47,Budget
O000042,L000188,CU000188,2024-02-18,2024-06-05,Security Add-on,Closed Won,6998.88,1959.69,1,0,108,
O000043,L000190,CU000190,2024-02-16,2024-03-18,Enterprise Connectivity,Closed Won,5769.73,1615.52,1,0,31,
O000044,L000191,CU000191,2024-02-19,2024-03-17,Security Add-on,Closed Lost,85556.58,41067.16,0,1,27,Competitor
O000045,L000192,CU000192,2024-02-10,2024-04-08,Enterprise Connectivity,Closed Lost,23831.94,11439.33,0,1,58,Competitor
O000046,L000199,CU000199,2024-02-22,2024-03-21,Remote Support,Closed Lost,9721.85,2722.12,0,1,28,Timing
O000047,L000205,CU000205,2024-02-09,2024-03-08,Remote Support,Closed Won,44662.66,12505.54,1,0,28,
O000048,L000210,CU000210,2024-02-23,2024-03-17,Enterprise Connectivity,Closed Lost,8565.7,2912.34,0,1,23,Timing
O000049,L000219,CU000219,2024-02-15,2024-05-23,Security Add-on,Closed Lost,7232.72,2025.16,0,1,98,Budget
O000050,L000228,CU000228,2024-02-16,2024-04-17,Enterprise Connectivity,Closed Won,8013.49,2243.78,1,0,61,
O000051,L000230,CU000230,2024-02-24,2024-06-17,Remote Access,Closed Lost,32740.68,9167.39,0,1,114,Budget
O000052,L000231,CU000231,2024-02-16,2024-06-13,Remote Access,Closed Won,5261.85,1473.32,1,0,118,
O000053,L000238,CU000238,2024-02-20,2024-03-19,Remote Access,Closed Lost,8266.72,2314.68,0,1,28,No decision
O000054,L000241,CU000241,2024-02-17,2024-05-22,Remote Support,Closed Lost,40304.85,13703.65,0,1,95,Timing
O000055,L000245,CU000245,2024-02-28,2024-06-08,Remote Support,Closed Lost,7382.96,2067.23,0,1,101,Budget
O000056,L000251,CU000251,2024-02-22,2024-04-23,Enterprise Connectivity,Closed Won,7561.63,2117.26,1,0,61,
O000057,L000256,CU000256,2024-02-24,2024-03-31,Remote Support,Closed Lost,4169.98,1167.6,0,1,36,No decision
O000058,L000257,CU000257,2024-02-26,2024-03-25,Remote Support,Closed Won,13141.93,3679.74,1,0,28,
O000059,L000263,CU000263,2024-02-25,2024-06-07,Enterprise Connectivity,Closed Lost,4107.83,1150.19,0,1,103,Budget
O000060,L000276,CU000276,2024-02-24,2024-04-04,Remote Access,Closed Lost,6259.94,1752.78,0,1,40,Timing
O000061,L000287,CU000287,2024-03-05,2024-05-07,Security Add-on,Closed Won,25757.43,7212.08,1,0,63,
O000062,L000289,CU000289,2024-03-03,2024-06-01,Enterprise Connectivity,Closed Lost,30374.74,8504.93,0,1,90,Timing
O000063,L000290,CU000290,2024-02-27,2024-06-16,Security Add-on,Closed Won,25993.84,7278.27,1,0,110,
O000064,L000292,CU000292,2024-02-28,2024-04-20,Remote Access,Closed Won,17858.76,5000.45,1,0,52,
O000065,L000296,CU000296,2024-03-02,2024-05-04,Security Add-on,Closed Lost,16295.83,3259.17,0,1,63,Competitor
O000066,L000299,CU000299,2024-03-04,2024-06-05,Remote Access,Closed Won,24055.37,6735.5,1,0,93,
O000067,L000307,CU000307,2024-03-09,2024-04-18,Enterprise Connectivity,Closed Won,5892.38,2474.8,1,0,40,
O000068,L000312,CU000312,2024-03-05,2024-04-24,Remote Support,Closed Won,12887.21,4381.65,1,0,50,
O000069,L000313,CU000313,2024-03-09,2024-05-23,Remote Access,Closed Lost,29143.61,8160.21,0,1,75,Competitor
O000070,L000316,CU000316,2024-02-29,2024-05-28,Remote Support,Closed Won,14067.41,3938.87,1,0,89,
O000071,L000319,CU000319,2024-03-10,2024-05-25,Remote Support,Closed Won,5236.79,1466.3,1,0,76,
O000072,L000320,CU000320,2024-02-29,2024-05-13,Security Add-on,Closed Lost,37124.29,10394.8,0,1,74,No decision
O000073,L000328,CU000328,2024-03-12,2024-05-15,Enterprise Connectivity,Closed Lost,31351.03,10659.35,0,1,64,Competitor
O000074,L000333,CU000333,2024-03-06,2024-04-20,Enterprise Connectivity,Closed Lost,10610.26,2122.05,0,1,45,Competitor
O000075,L000338,CU000338,2024-03-12,2024-04-07,Enterprise Connectivity,Closed Won,28180.49,7890.54,1,0,26,
O000076,L000352,CU000352,2024-03-14,2024-04-22,Remote Access,Closed Won,18305.29,5125.48,1,0,39,
O000077,L000354,CU000354,2024-03-15,2024-05-07,Remote Support,Closed Won,67289.55,18841.07,1,0,53,
O000078,L000355,CU000355,2024-03-07,2024-06-01,Remote Support,Closed Won,10073.07,2820.46,1,0,86,
O000079,L000356,CU000356,2024-03-11,2024-07-05,Remote Support,Closed Won,25875.69,7245.19,1,0,116,
O000080,L000360,CU000360,2024-03-13,2024-04-04,Remote Support,Closed Lost,35494.05,12067.98,0,1,22,Timing
O000081,L000369,CU000369,2024-03-17,2024-04-28,Enterprise Connectivity,Closed Won,9491.43,3227.08,1,0,42,
O000082,L000370,CU000370,2024-03-14,2024-06-24,Enterprise Connectivity,Closed Lost,10763.59,3013.81,0,1,102,Budget
O000083,L000371,CU000371,2024-03-11,2024-06-22,Enterprise Connectivity,Closed Won,4149.92,1991.96,1,0,103,
O000084,L000376,CU000376,2024-03-08,2024-05-26,Security Add-on,Closed Lost,14480.74,2896.15,0,1,79,Competitor
O000085,L000378,CU000378,2024-03-09,2024-04-28,Remote Support,Closed Lost,14978.22,2995.64,0,1,50,No decision
O000086,L000383,CU000383,2024-03-15,2024-06-27,Remote Support,Closed Lost,62323.06,17450.46,0,1,104,Competitor
O000087,L000393,CU000393,2024-03-15,2024-05-15,Security Add-on,Closed Lost,12633.74,3537.45,0,1,61,No decision
O000088,L000395,CU000395,2024-03-17,2024-06-24,Remote Support,Closed Lost,52595.52,17882.48,0,1,99,No decision
O000089,L000397,CU000397,2024-03-23,2024-05-25,Remote Access,Closed Won,4079.27,1142.2,1,0,63,
O000090,L000402,CU000402,2024-03-17,2024-05-02,Remote Access,Closed Lost,5469.8,1859.73,0,1,46,Competitor
O000091,L000403,CU000403,2024-03-19,2024-06-06,Remote Support,Closed Won,37028.11,12589.56,1,0,79,
O000092,L000408,CU000408,2024-03-14,2024-07-10,Enterprise Connectivity,Closed Lost,71021.84,19886.11,0,1,118,Timing
O000093,L000412,CU000412,2024-03-14,2024-06-24,Security Add-on,Closed Lost,7834.87,2663.86,0,1,102,No decision
O000094,L000416,CU000416,2024-03-22,2024-07-04,Remote Access,Closed Lost,10369.66,2903.51,0,1,104,Timing
O000095,L000424,CU000424,2024-03-24,2024-05-16,Remote Access,Closed Lost,66164.57,31758.99,0,1,53,No decision
O000096,L000428,CU000428,2024-03-17,2024-06-14,Enterprise Connectivity,Closed Lost,46611.23,13051.15,0,1,89,Competitor
O000097,L000434,CU000434,2024-03-25,2024-04-30,Remote Support,Closed Lost,26339.97,8955.59,0,1,36,Competitor
O000098,L000435,CU000435,2024-03-26,2024-05-02,Enterprise Connectivity,Closed Won,59923.14,16778.48,1,0,37,
O000099,L000436,CU000436,2024-03-19,2024-05-05,Remote Support,Closed Lost,24671.03,6907.89,0,1,47,Budget
O000100,L000444,CU000444,2024-04-01,2024-07-03,Remote Access,Closed Won,4865.99,1654.44,1,0,93,
O000101,L000446,CU000446,2024-03-28,2024-05-01,Remote Support,Closed Won,17178.53,4809.99,1,0,34,
O000102,L000448,CU000448,2024-03-22,2024-05-14,Remote Access,Closed Lost,35839.24,10034.99,0,1,53,Timing
O000103,L000457,CU000457,2024-03-24,2024-06-17,Remote Support,Closed Won,50418.42,17142.26,1,0,85,
O000104,L000459,CU000459,2024-03-28,2024-05-19,Remote Support,Closed Lost,7733.84,2165.47,0,1,52,No decision
O000105,L000472,CU000472,2024-03-28,2024-05-12,Remote Access,Closed Won,105116.55,29432.63,1,0,45,
O000106,L000475,CU000475,2024-03-27,2024-07-12,Enterprise Connectivity,Closed Lost,6364.24,1781.99,0,1,107,No decision
O000107,L000482,CU000482,2024-03-29,2024-05-30,Security Add-on,Closed Won,60804.32,17025.21,1,0,62,
O000108,L000483,CU000483,2024-03-31,2024-06-19,Enterprise Connectivity,Closed Lost,40029.05,13609.88,0,1,80,Budget
O000109,L000485,CU000485,2024-04-05,2024-06-18,Remote Support,Closed Lost,16712.93,4679.62,0,1,74,Budget
O000110,L000493,CU000493,2024-03-31,2024-05-20,Remote Access,Closed Won,5314.89,1488.17,1,0,50,
O000111,L000496,CU000496,2024-04-05,2024-07-13,Remote Access,Closed Lost,39001.67,10920.47,0,1,99,No decision
O000112,L000498,CU000498,2024-04-05,2024-06-19,Remote Support,Closed Lost,35677.28,12130.28,0,1,75,Budget
O000113,L000500,CU000500,2024-03-31,2024-07-12,Remote Access,Closed Lost,9938.16,3378.97,0,1,103,No decision
O000114,L000501,CU000501,2024-04-04,2024-04-26,Remote Access,Closed Won,23656.47,6623.81,1,0,22,
O000115,L000506,CU000506,2024-04-07,2024-06-20,Security Add-on,Closed Won,24404.31,8297.46,1,0,74,
O000116,L000508,CU000508,2024-04-06,2024-06-29,Remote Access,Closed Lost,15742.24,4407.83,0,1,84,Timing
O000117,L000514,CU000514,2024-04-15,2024-05-28,Security Add-on,Closed Won,25724.57,7202.88,1,0,43,
O000118,L000515,CU000515,2024-04-11,2024-07-27,Remote Support,Closed Lost,83925.56,40284.27,0,1,107,No decision
O000119,L000518,CU000518,2024-04-14,2024-06-13,Remote Support,Closed Lost,46296.78,12963.1,0,1,60,Timing
O000120,L000537,CU000537,2024-04-07,2024-05-14,Security Add-on,Closed Lost,34025.11,11568.54,0,1,37,Timing
O000121,L000538,CU000538,2024-04-07,2024-06-02,Remote Support,Closed Lost,4571.48,914.3,0,1,56,Competitor
O000122,L000543,CU000543,2024-04-12,2024-05-15,Remote Support,Closed Lost,71252.17,19950.61,0,1,33,No decision
O000123,L000561,CU000561,2024-04-17,2024-06-04,Enterprise Connectivity,Closed Won,6134.91,1717.78,1,0,48,
O000124,L000574,CU000574,2024-04-25,2024-06-19,Remote Access,Closed Lost,85666.09,23986.5,0,1,55,Competitor
O000125,L000580,CU000580,2024-04-17,2024-08-07,Security Add-on,Closed Lost,15800.39,7584.19,0,1,112,Budget
O000126,L000600,CU000600,2024-04-20,2024-08-07,Remote Support,Closed Won,7272.97,2472.81,1,0,109,
O000127,L000601,CU000601,2024-04-23,2024-06-29,Remote Access,Closed Lost,21944.24,6144.39,0,1,67,Timing
O000128,L000603,CU000603,2024-04-22,2024-05-18,Remote Support,Closed Lost,60778.28,17017.92,0,1,26,No decision
O000129,L000604,CU000604,2024-05-01,2024-05-28,Remote Access,Closed Lost,90461.14,43421.35,0,1,27,No decision
O000130,L000607,CU000607,2024-04-21,2024-06-29,Security Add-on,Closed Lost,26492.28,7417.84,0,1,69,Competitor
O000131,L000613,CU000613,2024-05-01,2024-08-12,Security Add-on,Closed Lost,14886.32,5061.35,0,1,103,Competitor
O000132,L000640,CU000640,2024-05-03,2024-07-13,Remote Access,Closed Lost,71476.27,20013.36,0,1,71,Budget
O000133,L000649,CU000649,2024-05-01,2024-07-04,Enterprise Connectivity,Closed Lost,66950.52,32136.25,0,1,64,No decision
O000134,L000651,CU000651,2024-05-05,2024-05-30,Remote Access,Closed Won,28824.13,8070.76,1,0,25,
O000135,L000656,CU000656,2024-05-09,2024-06-12,Enterprise Connectivity,Closed Lost,8330.47,2332.53,0,1,34,Timing
O000136,L000672,CU000672,2024-05-17,2024-08-12,Remote Support,Closed Won,15479.49,4334.26,1,0,87,
O000137,L000677,CU000677,2024-05-08,2024-06-30,Remote Support,Closed Lost,7810.75,1562.15,0,1,53,Budget
O000138,L000678,CU000678,2024-05-12,2024-07-17,Remote Support,Closed Lost,10057.35,2816.06,0,1,66,Timing
O000139,L000684,CU000684,2024-05-20,2024-07-04,Remote Access,Closed Won,39022.45,13267.63,1,0,45,
O000140,L000687,CU000687,2024-05-14,2024-06-29,Enterprise Connectivity,Closed Won,27434.91,9327.87,1,0,46,
O000141,L000688,CU000688,2024-05-10,2024-08-08,Security Add-on,Closed Lost,27008.22,7562.3,0,1,90,No decision
O000142,L000689,CU000689,2024-05-21,2024-07-13,Enterprise Connectivity,Closed Lost,57299.53,16043.87,0,1,53,Budget
O000143,L000692,CU000692,2024-05-17,2024-06-26,Security Add-on,Closed Lost,11980.53,3354.55,0,1,40,No decision
O000144,L000702,CU000702,2024-05-18,2024-09-13,Enterprise Connectivity,Closed Won,98063.32,27457.73,1,0,118,
O000145,L000704,CU000704,2024-05-12,2024-06-14,Remote Access,Closed Lost,32245.21,9028.66,0,1,33,No decision
O000146,L000710,CU000710,2024-05-17,2024-07-17,Enterprise Connectivity,Closed Won,14419.93,6921.57,1,0,61,
O000147,L000711,CU000711,2024-05-22,2024-08-30,Enterprise Connectivity,Closed Won,64164.16,21815.81,1,0,100,
O000148,L000713,CU000713,2024-05-27,2024-07-31,Enterprise Connectivity,Closed Lost,4164.45,1415.91,0,1,65,Competitor
O000149,L000714,CU000714,2024-05-25,2024-09-06,Enterprise Connectivity,Closed Lost,24354.7,11690.25,0,1,104,Competitor
O000150,L000717,CU000717,2024-05-26,2024-08-21,Remote Support,Closed Lost,56808.86,15906.48,0,1,87,Timing
O000151,L000720,CU000720,2024-05-28,2024-06-23,Remote Access,Closed Lost,31638.14,8858.68,0,1,26,No decision
O000152,L000728,CU000728,2024-05-20,2024-08-15,Enterprise Connectivity,Closed Lost,4906.09,1373.71,0,1,87,Budget
O000153,L000730,CU000730,2024-05-22,2024-09-05,Remote Access,Closed Won,18142.6,5079.93,1,0,106,
O000154,L000731,CU000731,2024-05-25,2024-08-05,Remote Support,Closed Won,9956.1,2787.71,1,0,72,
O000155,L000736,CU000736,2024-05-24,2024-06-16,Security Add-on,Closed Lost,4175.39,835.08,0,1,23,Competitor
O000156,L000748,CU000748,2024-05-25,2024-07-13,Enterprise Connectivity,Closed Won,20152.52,5642.7,1,0,49,
O000157,L000759,CU000759,2024-05-25,2024-07-04,Remote Access,Closed Lost,24460.98,6849.07,0,1,40,Budget
O000158,L000762,CU000762,2024-06-05,2024-09-23,Security Add-on,Closed Lost,27578.6,7722.01,0,1,110,No decision
O000159,L000772,CU000772,2024-05-29,2024-08-28,Security Add-on,Closed Lost,13826.24,3871.35,0,1,91,Competitor
O000160,L000773,CU000773,2024-05-27,2024-07-14,Remote Access,Closed Lost,13071.62,4444.35,0,1,48,Budget
O000161,L000778,CU000778,2024-05-30,2024-09-26,Enterprise Connectivity,Closed Lost,22546.44,6313.0,0,1,119,Timing
O000162,L000779,CU000779,2024-05-27,2024-06-26,Security Add-on,Closed Won,5012.83,1403.59,1,0,30,
O000163,L000780,CU000780,2024-06-07,2024-07-08,Security Add-on,Closed Lost,34651.78,9702.5,0,1,31,Competitor
O000164,L000792,CU000792,2024-06-07,2024-07-26,Security Add-on,Closed Won,19900.22,9552.11,1,0,49,
O000165,L000793,CU000793,2024-06-05,2024-08-25,Security Add-on,Closed Lost,6687.49,1872.5,0,1,81,Timing
O000166,L000799,CU000799,2024-06-05,2024-07-15,Enterprise Connectivity,Closed Lost,19980.96,5594.67,0,1,40,Budget
O000167,L000803,CU000803,2024-06-09,2024-09-12,Security Add-on,Closed Lost,108723.6,30442.61,0,1,95,Budget
O000168,L000805,CU000805,2024-06-04,2024-08-14,Remote Access,Closed Lost,5247.46,1469.29,0,1,71,No decision
O000169,L000810,CU000810,2024-06-03,2024-08-02,Security Add-on,Closed Lost,46449.01,13005.72,0,1,60,Budget
O000170,L000812,CU000812,2024-06-05,2024-09-01,Remote Access,Closed Lost,11175.2,3129.05,0,1,88,Budget
O000171,L000817,CU000817,2024-06-03,2024-08-15,Security Add-on,Closed Won,12010.93,5765.25,1,0,73,
O000172,L000820,CU000820,2024-06-15,2024-09-26,Remote Support,Closed Lost,23772.85,6656.4,0,1,103,Timing
O000173,L000821,CU000821,2024-06-15,2024-07-19,Remote Access,Closed Lost,38056.68,10655.87,0,1,34,Competitor
O000174,L000823,CU000823,2024-06-11,2024-08-03,Remote Access,Closed Lost,45683.45,21928.06,0,1,53,Competitor
O000175,L000825,CU000825,2024-06-14,2024-08-19,Security Add-on,Closed Won,16797.84,4703.39,1,0,66,
O000176,L000828,CU000828,2024-06-14,2024-07-28,Enterprise Connectivity,Closed Lost,8944.09,2504.34,0,1,44,Budget
O000177,L000829,CU000829,2024-06-04,2024-08-30,Remote Access,Closed Won,3752.96,750.59,1,0,87,
O000178,L000831,CU000831,2024-06-08,2024-08-28,Remote Access,Closed Lost,11751.56,3290.44,0,1,81,Competitor
O000179,L000853,CU000853,2024-06-19,2024-07-16,Enterprise Connectivity,Closed Lost,23961.53,6709.23,0,1,27,Budget
O000180,L000854,CU000854,2024-06-18,2024-08-25,Remote Access,Closed Lost,22901.6,6412.45,0,1,68,Budget
O000181,L000859,CU000859,2024-06-16,2024-09-11,Enterprise Connectivity,Closed Won,8480.06,2374.42,1,0,87,
O000182,L000866,CU000866,2024-06-16,2024-07-26,Remote Access,Closed Won,15736.62,5350.45,1,0,40,
O000183,L000868,CU000868,2024-06-10,2024-08-14,Enterprise Connectivity,Closed Lost,7772.41,2176.27,0,1,65,Budget
O000184,L000886,CU000886,2024-06-27,2024-07-22,Remote Access,Closed Lost,70859.99,19840.8,0,1,25,Timing
O000185,L000890,CU000890,2024-06-20,2024-10-15,Remote Support,Closed Lost,40033.19,11209.29,0,1,117,Timing
O000186,L000897,CU000897,2024-06-20,2024-10-10,Enterprise Connectivity,Closed Won,11474.88,3901.46,1,0,112,
O000187,L000907,CU000907,2024-06-17,2024-09-22,Remote Access,Closed Lost,5902.95,1652.83,0,1,97,Timing
O000188,L000914,CU000914,2024-06-25,2024-08-10,Remote Access,Closed Lost,94631.72,26496.88,0,1,46,Timing
O000189,L000916,CU000916,2024-06-29,2024-09-20,Remote Support,Closed Lost,12167.35,3406.86,0,1,83,Timing
O000190,L000920,CU000920,2024-07-02,2024-10-03,Remote Access,Closed Lost,5989.46,1677.05,0,1,93,No decision
O000191,L000922,CU000922,2024-07-01,2024-07-30,Remote Access,Closed Won,3828.06,1301.54,1,0,29,
O000192,L000924,CU000924,2024-06-30,2024-08-06,Enterprise Connectivity,Closed Lost,27039.48,7571.05,0,1,37,No decision
O000193,L000934,CU000934,2024-06-23,2024-08-22,Security Add-on,Closed Lost,86579.51,24242.26,0,1,60,No decision
O000194,L000950,CU000950,2024-06-26,2024-08-05,Remote Access,Closed Lost,4281.08,1198.7,0,1,40,Budget
O000195,L000951,CU000951,2024-06-22,2024-07-25,Remote Access,Closed Won,8500.83,2380.23,1,0,33,
O000196,L000958,CU000958,2024-06-24,2024-07-21,Enterprise Connectivity,Closed Lost,25938.29,12450.38,0,1,27,Timing
O000197,L000965,CU000965,2024-07-07,2024-08-10,Security Add-on,Closed Lost,34000.2,14280.08,0,1,34,Budget
O000198,L000972,CU000972,2024-07-03,2024-10-26,Remote Support,Closed Lost,13077.56,4446.37,0,1,115,No decision
O000199,L000974,CU000974,2024-06-30,2024-09-17,Remote Support,Closed Won,6960.47,1948.93,1,0,79,
O000200,L000975,CU000975,2024-07-10,2024-10-01,Security Add-on,Closed Lost,11304.88,3165.37,0,1,83,Timing
O000201,L000980,CU000980,2024-07-06,2024-07-30,Remote Support,Closed Lost,19344.53,5416.47,0,1,24,No decision
O000202,L000984,CU000984,2024-06-29,2024-10-23,Remote Access,Closed Lost,11873.32,3324.53,0,1,116,Budget
O000203,L000993,CU000993,2024-07-12,2024-10-27,Enterprise Connectivity,Closed Won,19676.97,5509.55,1,0,107,
O000204,L000995,CU000995,2024-07-08,2024-10-08,Enterprise Connectivity,Closed Lost,44652.17,21433.04,0,1,92,No decision
O000205,L001002,CU001002,2024-07-05,2024-08-28,Security Add-on,Closed Lost,28064.47,9541.92,0,1,54,Budget
O000206,L001014,CU001014,2024-07-11,2024-08-14,Remote Access,Closed Lost,34407.14,9634.0,0,1,34,No decision
O000207,L001016,CU001016,2024-07-11,2024-09-23,Remote Access,Closed Lost,69488.18,29185.03,0,1,74,No decision
O000208,L001029,CU001029,2024-07-19,2024-10-07,Security Add-on,Closed Lost,36052.95,17305.42,0,1,80,No decision
O000209,L001031,CU001031,2024-07-06,2024-08-03,Remote Support,Closed Lost,23858.03,6680.25,0,1,28,No decision
O000210,L001033,CU001033,2024-07-17,2024-10-16,Security Add-on,Closed Lost,15014.96,5105.09,0,1,91,Timing
O000211,L001034,CU001034,2024-07-15,2024-09-08,Enterprise Connectivity,Closed Won,6638.12,1858.67,1,0,55,
O000212,L001044,CU001044,2024-07-19,2024-09-23,Remote Support,Closed Won,6149.16,1721.76,1,0,66,
O000213,L001045,CU001045,2024-07-16,2024-09-18,Remote Support,Closed Won,18656.48,6343.2,1,0,64,
O000214,L001046,CU001046,2024-07-16,2024-09-12,Enterprise Connectivity,Closed Won,68213.04,19099.65,1,0,58,
O000215,L001051,CU001051,2024-07-21,2024-10-31,Remote Access,Closed Lost,11336.49,3174.22,0,1,102,Timing
O000216,L001060,CU001060,2024-07-19,2024-09-03,Remote Access,Closed Lost,11232.64,3145.14,0,1,46,Timing
O000217,L001071,CU001071,2024-07-14,2024-11-02,Remote Access,Closed Won,3288.94,920.9,1,0,111,
O000218,L001080,CU001080,2024-07-30,2024-10-24,Remote Support,Closed Won,5446.51,1525.02,1,0,86,
O000219,L001087,CU001087,2024-07-29,2024-08-28,Remote Access,Closed Won,110219.64,52905.43,1,0,30,
O000220,L001092,CU001092,2024-07-27,2024-11-10,Enterprise Connectivity,Closed Lost,76753.06,36841.47,0,1,106,Budget
O000221,L001094,CU001094,2024-07-23,2024-09-01,Enterprise Connectivity,Closed Lost,4151.0,1411.34,0,1,40,Budget
O000222,L001096,CU001096,2024-07-20,2024-08-18,Enterprise Connectivity,Closed Won,11138.77,3118.86,1,0,29,
O000223,L001099,CU001099,2024-08-02,2024-09-12,Remote Support,Closed Lost,89478.37,25053.94,0,1,41,Budget
O000224,L001122,CU001122,2024-07-27,2024-08-23,Security Add-on,Closed Won,75390.12,25632.64,1,0,27,
O000225,L001123,CU001123,2024-07-29,2024-10-05,Enterprise Connectivity,Closed Lost,4284.32,1199.61,0,1,68,Competitor
O000226,L001127,CU001127,2024-08-02,2024-10-30,Security Add-on,Closed Won,14518.44,6097.75,1,0,89,
O000227,L001130,CU001130,2024-08-07,2024-11-30,Enterprise Connectivity,Closed Lost,10585.39,2963.91,0,1,115,Budget
O000228,L001145,CU001145,2024-07-27,2024-09-19,Remote Access,Closed Lost,5115.35,1432.3,0,1,54,No decision
O000229,L001154,CU001154,2024-08-02,2024-11-10,Remote Access,Closed Lost,17363.66,4861.83,0,1,100,No decision
